Volume averages, fluxes, etc
it t dt Rho Mx My Mz Bx By Bz Ehot Ew Pe Ppar E Pmin Pmax
   2300  0.00000E+00  0.00000E+000  3.56201E-019  2.64140E-015 -1.26665E-015  1.33494E-015  2.85932E-005 -6.33935E-005  9.27517E-004  5.82048E-007  1.56461E-006  3.36268E-006  3.03508E-006  6.74048E-006  1.31188E-008  1.35617E+000
   2400  0.00000E+00  0.00000E+000  3.55938E-019  2.72950E-015 -1.61653E-015  1.07147E-015  3.79323E-005 -6.44710E-005  9.43599E-004  5.77590E-007  1.56902E-006  3.35457E-006  3.02702E-006  6.74838E-006  1.35149E-008  1.35722E+000
   2500  0.00000E+00  0.00000E+000  3.55683E-019  2.81786E-015 -1.46804E-015  9.19732E-016  3.78440E-005 -5.72900E-005  9.80954E-004  5.74764E-007  1.57656E-006  3.34095E-006  3.01632E-006  6.78032E-006  1.42568E-008  1.35374E+000
   2600  0.00000E+00  0.00000E+000  3.55508E-019  3.03468E-015 -1.22786E-015  8.44857E-016  4.34368E-005 -6.43914E-005  9.95068E-004  5.65857E-007  1.57666E-006  3.32118E-006  2.99933E-006  6.77861E-006  1.45904E-008  1.35635E+000
   2700  0.00000E+00  0.00000E+000  3.55251E-019  2.93966E-015 -9.53017E-016  7.88783E-016  4.70882E-005 -6.67351E-005  1.00283E-003  5.61005E-007  1.57407E-006  3.31268E-006  2.99070E-006  6.78169E-006  1.49576E-008  1.35377E+000
   2800  0.00000E+00  0.00000E+000  3.54972E-019  3.12818E-015 -1.59410E-016  4.93779E-016  4.31567E-005 -6.67615E-005  1.03202E-003  5.59959E-007  1.57758E-006  3.30348E-006  2.98321E-006  6.80728E-006  1.53043E-008  1.35363E+000
   2900  0.00000E+00  0.00000E+000  3.54842E-019  3.08990E-015  5.80776E-017  1.59910E-016  4.66060E-005 -7.09802E-005  1.04777E-003  5.53298E-007  1.57833E-006  3.28527E-006  2.96926E-006  6.81672E-006  1.57302E-008  1.35362E+000
   3000  0.00000E+00  0.00000E+000  3.54607E-019  2.92078E-015  1.58955E-016  9.02210E-017  4.99484E-005 -7.51504E-005  1.05339E-003  5.47024E-007  1.57382E-006  3.27387E-006  2.96023E-006  6.81770E-006  1.58094E-008  1.35401E+000
   3100  0.00000E+00  0.00000E+000  3.54350E-019  3.09871E-015  3.23222E-016 -2.52242E-016  4.79762E-005 -7.70444E-005  1.07761E-003  5.44380E-007  1.57318E-006  3.26495E-006  2.95419E-006  6.83504E-006  1.59732E-008  1.35396E+000
   3200  0.00000E+00  0.00000E+000  3.54211E-019  3.03873E-015  2.03685E-016 -6.93750E-016  5.12132E-005 -7.74282E-005  1.09329E-003  5.38679E-007  1.57388E-006  3.24909E-006  2.94320E-006  6.84776E-006  1.61703E-008  1.35403E+000
