count,year,mo,dy,hr,mn,sc,Rho,V_tot,Temperature,B_tot
61.0,2018.0,8.0,29.0,11.0,0.0,0.0,2.2000000477,504.0,85681.0,2.7000000477
62.0,2018.0,8.0,29.0,12.0,0.0,0.0,2.2000000477,503.0,75834.0,2.7999999523
63.0,2018.0,8.0,29.0,13.0,0.0,0.0,2.0,500.0,78578.0,2.9000000954
64.0,2018.0,8.0,29.0,14.0,0.0,0.0,2.0,505.0,68244.0,3.0
65.0,2018.0,8.0,29.0,15.0,0.0,0.0,2.0999999046,500.0,71941.0,2.7999999523
66.0,2018.0,8.0,29.0,16.0,0.0,0.0,2.0,491.0,66346.0,2.7000000477
67.0,2018.0,8.0,29.0,17.0,0.0,0.0,1.8999999762,485.0,63298.0,2.7000000477
68.0,2018.0,8.0,29.0,18.0,0.0,0.0,1.7999999523,482.0,55844.0,2.5
69.0,2018.0,8.0,29.0,19.0,0.0,0.0,1.8999999762,475.0,56382.0,2.4000000954
70.0,2018.0,8.0,29.0,20.0,0.0,0.0,2.0,472.0,62183.0,2.2999999523
71.0,2018.0,8.0,29.0,21.0,0.0,0.0,2.0,471.0,55181.0,2.5
72.0,2018.0,8.0,29.0,22.0,0.0,0.0,3.0,473.0,54544.0,2.0999999046
73.0,2018.0,8.0,29.0,23.0,0.0,0.0,-9.9999998482e30,458.0,54444.0,1.5
74.0,2018.0,8.0,30.0,0.0,0.0,0.0,-9.9999998482e30,453.0,55450.0,2.2999999523
75.0,2018.0,8.0,30.0,1.0,0.0,0.0,-9.9999998482e30,452.0,64345.0,2.2999999523
76.0,2018.0,8.0,30.0,2.0,0.0,0.0,2.7000000477,455.0,64311.0,2.4000000954
77.0,2018.0,8.0,30.0,3.0,0.0,0.0,3.0,460.0,57564.0,2.0
78.0,2018.0,8.0,30.0,4.0,0.0,0.0,2.5999999046,449.0,52494.0,2.0
79.0,2018.0,8.0,30.0,5.0,0.0,0.0,2.7000000477,447.0,42164.0,2.2999999523
80.0,2018.0,8.0,30.0,6.0,0.0,0.0,3.5,442.0,28207.0,2.5
81.0,2018.0,8.0,30.0,7.0,0.0,0.0,2.9000000954,443.0,43327.0,2.7999999523
82.0,2018.0,8.0,30.0,8.0,0.0,0.0,2.5,437.0,53270.0,2.9000000954
83.0,2018.0,8.0,30.0,9.0,0.0,0.0,2.7999999523,429.0,48706.0,2.7999999523
84.0,2018.0,8.0,30.0,10.0,0.0,0.0,3.2000000477,419.0,33514.0,2.9000000954
85.0,2018.0,8.0,30.0,11.0,0.0,0.0,4.5999999046,401.0,16397.0,2.5999999046
86.0,2018.0,8.0,30.0,12.0,0.0,0.0,5.1999998093,387.0,18094.0,2.5
87.0,2018.0,8.0,30.0,13.0,0.0,0.0,4.5,382.0,22904.0,2.2000000477
88.0,2018.0,8.0,30.0,14.0,0.0,0.0,3.5999999046,375.0,20098.0,2.0999999046
89.0,2018.0,8.0,30.0,15.0,0.0,0.0,3.7000000477,377.0,19499.0,2.5
90.0,2018.0,8.0,30.0,16.0,0.0,0.0,3.7000000477,378.0,20577.0,2.7999999523
91.0,2018.0,8.0,30.0,17.0,0.0,0.0,4.4000000954,378.0,18808.0,3.0
92.0,2018.0,8.0,30.0,18.0,0.0,0.0,3.7999999523,379.0,20392.0,3.7999999523
93.0,2018.0,8.0,30.0,19.0,0.0,0.0,3.5999999046,375.0,20962.0,4.4000000954
94.0,2018.0,8.0,30.0,20.0,0.0,0.0,3.7000000477,377.0,24144.0,4.5
95.0,2018.0,8.0,30.0,21.0,0.0,0.0,3.2000000477,371.0,21345.0,4.9000000954
96.0,2018.0,8.0,30.0,22.0,0.0,0.0,4.9000000954,380.0,29163.0,4.4000000954
97.0,2018.0,8.0,30.0,23.0,0.0,0.0,7.0,392.0,23921.0,4.3000001907
98.0,2018.0,8.0,31.0,0.0,0.0,0.0,7.3000001907,386.0,27510.0,3.7999999523
99.0,2018.0,8.0,31.0,1.0,0.0,0.0,7.5999999046,385.0,23296.0,3.5999999046
100.0,2018.0,8.0,31.0,2.0,0.0,0.0,7.1999998093,380.0,25872.0,4.0999999046
101.0,2018.0,8.0,31.0,3.0,0.0,0.0,7.9000000954,373.0,24354.0,4.4000000954
102.0,2018.0,8.0,31.0,4.0,0.0,0.0,8.6999998093,373.0,22031.0,4.5999999046
103.0,2018.0,8.0,31.0,5.0,0.0,0.0,10.699999809,373.0,28137.0,5.3000001907
104.0,2018.0,8.0,31.0,6.0,0.0,0.0,13.0,375.0,24589.0,5.5999999046
105.0,2018.0,8.0,31.0,7.0,0.0,0.0,9.8000001907,381.0,35383.0,6.1999998093
106.0,2018.0,8.0,31.0,8.0,0.0,0.0,8.6000003815,387.0,49412.0,5.1999998093
