BrFactor_ADAPT,nChromoSi_AWSoM,PoyntingFluxPerBSi,LperpTimesSqrtBSi,StochasticExponent,BrMin,rMinWaveReflection,REALIZATIONS_ADAPT,PFSS,UseSurfaceWaveRefl,Outcomes
0.841764706,4.25882e18,349019.6078,99485.29412,0.101764706,7.316176471,1.106372549,8.0,1.0,1.0,1
1.762941176,1.05882e18,337254.902,288750.0,0.331176471,6.899509804,1.150490196,10.0,1.0,2.0,1
0.884117647,3.45882e18,984313.7255,127279.4118,0.297058824,9.546568627,1.110294118,9.0,1.0,1.0,1
1.148823529,3.81176e18,572549.0196,227867.6471,0.282941176,5.306372549,1.144607843,1.0,1.0,2.0,1
0.905294118,1.85882e18,835294.1176,221250.0,0.139411765,5.968137255,1.196568627,12.0,1.0,1.0,1
0.915882353,3.74118e18,956862.7451,239779.4118,0.107647059,5.085784314,1.050490196,10.0,1.0,2.0,1
0.926470588,4.14118e18,725490.1961,80955.88235,0.217058824,9.448529412,1.068137255,1.0,1.0,1.0,1
0.937058824,8.70588e17,400000.0,133897.0588,0.117058824,9.742647059,1.113235294,3.0,1.0,2.0,1
0.958235294,2.84706e18,815686.2745,193455.8824,0.235882353,6.213235294,1.042647059,5.0,1.0,1.0,1
2.271176471,2.14118e18,666666.6667,35955.88235,0.154705882,7.144607843,1.171078431,2.0,1.0,2.0,1
0.968823529,2.35294e17,713725.4902,243750.0,0.335882353,8.566176471,1.09754902,7.0,1.0,1.0,1
0.979411765,2.42353e18,623529.4118,296691.1765,0.294705882,7.585784314,1.032843137,9.0,1.0,2.0,1
1.011176471,5.17647e17,913725.4902,79632.35294,0.13,5.453431373,1.027941176,1.0,1.0,1.0,1
1.000588235,4.68235e18,525490.1961,266250.0,0.212352941,5.600490196,1.176960784,8.0,1.0,2.0,1
0.99,3.6e18,905882.3529,169632.3529,0.172352941,7.43872549,1.083823529,7.0,1.0,1.0,1
1.021764706,2.87059e18,768627.451,65073.52941,0.105294118,8.026960784,1.118137255,4.0,1.0,2.0,1
1.032352941,4.47059e17,364705.8824,204044.1176,0.228823529,8.198529412,1.148529412,2.0,1.0,1.0,1
1.042941176,4.61176e18,807843.1373,121985.2941,0.333529412,8.345588235,1.05245098,10.0,1.0,2.0,1
2.662941176,2.07059e18,462745.098,151102.9412,0.281764706,9.080882353,1.103431373,10.0,1.0,1.0,1
1.064117647,2.49412e18,564705.8824,78308.82353,0.232352941,9.693627451,1.165196078,10.0,1.0,2.0,1
1.254705882,7.76471e17,780392.1569,164338.2353,0.161764706,9.399509804,1.180882353,3.0,1.0,1.0,1
2.080588235,4.16471e18,407843.1373,67720.58824,0.146470588,8.296568627,1.183823529,3.0,1.0,2.0,1
1.095882353,4.0e17,482352.9412,88897.05882,0.300588235,7.389705882,1.045588235,7.0,1.0,1.0,1
1.106470588,3.17647e18,847058.8235,262279.4118,0.275882353,8.615196078,1.194607843,6.0,1.0,2.0,1
1.117058824,4.56471e18,662745.098,173602.9412,0.128823529,8.835784314,1.124019608,6.0,1.0,1.0,1
1.127647059,3.92941e18,305882.3529,30661.76471,0.304117647,8.982843137,1.158333333,8.0,1.0,2.0,1
1.138235294,1.6e18,988235.2941,276838.2353,0.278235294,5.723039216,1.024019608,2.0,1.0,1.0,1
0.894705882,1.97647e18,533333.3333,131250.0,0.322941176,5.894607843,1.063235294,6.0,1.0,2.0,1
1.921764706,1.29412e18,380392.1569,159044.1176,0.171176471,5.012254902,1.107352941,2.0,1.0,1.0,1
1.159411765,2.47059e18,494117.6471,155073.5294,0.141764706,7.904411765,1.015196078,5.0,1.0,2.0,1
1.180588235,1.83529e18,1.074509804e6,63750.0,0.215882353,7.291666667,1.089705882,9.0,1.0,1.0,0
1.191176471,4.82353e18,964705.8824,106102.9412,0.165294118,7.830882353,1.169117647,12.0,1.0,2.0,1
2.112352941,3.12941e18,709803.9216,114044.1176,0.182941176,6.066176471,1.10245098,8.0,1.0,1.0,1
1.212352941,3.43529e18,313725.4902,76985.29412,0.245294118,7.095588235,1.028921569,3.0,1.0,2.0,1
1.222941176,1.74118e18,478431.3725,282132.3529,0.184117647,8.272058824,1.190686275,9.0,1.0,1.0,1
1.233529412,2.72941e18,749019.6078,139191.1765,0.124117647,5.208333333,1.187745098,10.0,1.0,2.0,1
1.244117647,2.16471e18,419607.8431,249044.1176,0.225294118,5.428921569,1.007352941,5.0,1.0,1.0,1
1.074705882,1.41176e18,929411.7647,237132.3529,0.306470588,9.914215686,1.071078431,3.0,1.0,2.0,1
1.265294118,3.03529e18,341176.4706,189485.2941,0.200588235,8.68872549,1.067156863,8.0,1.0,1.0,1
1.275882353,2.56471e18,650980.3922,223897.0588,0.313529412,6.654411765,1.177941176,6.0,1.0,2.0,1
1.297058824,4.02353e18,1.035294118e6,147132.3529,0.138235294,9.791666667,1.06127451,6.0,1.0,1.0,1
1.879411765,1.71765e18,878431.3725,92867.64706,0.338235294,6.605392157,1.125980392,6.0,1.0,2.0,1
2.313529412,3.29412e17,423529.4118,270220.5882,0.211176471,6.948529412,1.123039216,6.0,1.0,1.0,1
2.175882353,4.84706e18,756862.7451,226544.1176,0.272352941,8.100490196,1.036764706,5.0,1.0,2.0,1
1.328823529,3.27059e18,1.003921569e6,211985.2941,0.242941176,7.879901961,1.093627451,2.0,1.0,1.0,1
1.339411765,9.88235e17,458823.5294,49191.17647,0.315882353,9.350490196,1.023039216,4.0,1.0,2.0,1
2.472352941,2.37647e18,827450.9804,43897.05882,0.299411765,5.674019608,1.160294118,9.0,1.0,1.0,1
1.360588235,2.82353e18,545098.0392,95514.70588,0.260588235,5.06127451,1.087745098,2.0,1.0,2.0,1
