,BrFactor_ADAPT,nChromoSi_AWSoM,PoyntingFluxPerBSi,LperpTimesSqrtBSi,StochasticExponent,BrMin,rMinWaveReflection,REALIZATIONS_ADAPT,PFSS,UseSurfaceWaveRefl
23,1.635882353,4.705880E+18,8.00E+05,128602.9412,0.234705882,5.036764706,1.127941176,0.636363636,1,1
24,0.788823529,1.317650E+18,701960.7843,172279.4118,0.207647059,8.24754902,1.046568627,0.181818182,1,2
25,0.81,3.764710E+17,960784.3137,229191.1765,0.262941176,9.325980392,1.005392157,0.363636364,1,1
26,1.89,4.941180E+17,1047058.824,190808.8235,0.148823529,5.257352941,1.140686275,0.363636364,1,2
27,1.646470588,3.200000E+18,631372.549,100808.8235,0.321764706,8.149509804,1.008333333,0.454545455,1,1
28,0.831176471,2.800000E+18,439215.6863,38602.94118,0.193529412,9.227941176,1.078921569,0.545454545,1,2
29,2.038235294,2.658820E+18,1019607.843,274191.1765,0.195882353,6.31127451,1.186764706,0.272727273,1,1
30,0.873529412,1.505880E+18,549019.6078,250367.6471,0.167647059,9.276960784,1.159313725,0.272727273,1,2
31,0.841764706,4.258820E+18,349019.6078,99485.29412,0.101764706,7.316176471,1.106372549,0.727272727,1,1
32,1.762941176,1.058820E+18,337254.902,288750,0.331176471,6.899509804,1.150490196,0.909090909,1,2
33,0.884117647,3.458820E+18,984313.7255,127279.4118,0.297058824,9.546568627,1.110294118,0.818181818,1,1
34,1.148823529,3.811760E+18,572549.0196,227867.6471,0.282941176,5.306372549,1.144607843,0,1,2
35,0.905294118,1.858820E+18,835294.1176,221250,0.139411765,5.968137255,1.196568627,1,1,1
36,0.915882353,3.741180E+18,956862.7451,239779.4118,0.107647059,5.085784314,1.050490196,0.909090909,1,2
37,0.926470588,4.141180E+18,725490.1961,80955.88235,0.217058824,9.448529412,1.068137255,0,1,1
38,0.937058824,8.705880E+17,4.00E+05,133897.0588,0.117058824,9.742647059,1.113235294,0.181818182,1,2
39,0.958235294,2.847060E+18,815686.2745,193455.8824,0.235882353,6.213235294,1.042647059,0.363636364,1,1
40,2.271176471,2.141180E+18,666666.6667,35955.88235,0.154705882,7.144607843,1.171078431,0.090909091,1,2
41,0.968823529,2.352940E+17,713725.4902,243750,0.335882353,8.566176471,1.09754902,0.636363636,1,1
42,0.979411765,2.423530E+18,623529.4118,296691.1765,0.294705882,7.585784314,1.032843137,0.818181818,1,2
43,1.011176471,5.176470E+17,913725.4902,79632.35294,0.13,5.453431373,1.027941176,0,1,1
44,1.000588235,4.682350E+18,525490.1961,266250,0.212352941,5.600490196,1.176960784,0.727272727,1,2
45,0.99,3.600000E+18,905882.3529,169632.3529,0.172352941,7.43872549,1.083823529,0.636363636,1,1
46,1.021764706,2.870590E+18,768627.451,65073.52941,0.105294118,8.026960784,1.118137255,0.272727273,1,2
47,1.032352941,4.470590E+17,364705.8824,204044.1176,0.228823529,8.198529412,1.148529412,0.090909091,1,1
48,1.042941176,4.611760E+18,807843.1373,121985.2941,0.333529412,8.345588235,1.05245098,0.909090909,1,2
49,2.662941176,2.070590E+18,462745.098,151102.9412,0.281764706,9.080882353,1.103431373,0.909090909,1,1
50,1.064117647,2.494120E+18,564705.8824,78308.82353,0.232352941,9.693627451,1.165196078,0.909090909,1,2
51,1.254705882,7.764710E+17,780392.1569,164338.2353,0.161764706,9.399509804,1.180882353,0.181818182,1,1
52,2.080588235,4.164710E+18,407843.1373,67720.58824,0.146470588,8.296568627,1.183823529,0.181818182,1,2
53,1.095882353,4.000000E+17,482352.9412,88897.05882,0.300588235,7.389705882,1.045588235,0.636363636,1,1
54,1.106470588,3.176470E+18,847058.8235,262279.4118,0.275882353,8.615196078,1.194607843,0.545454545,1,2
55,1.117058824,4.564710E+18,662745.098,173602.9412,0.128823529,8.835784314,1.124019608,0.454545455,1,1
56,1.127647059,3.929410E+18,305882.3529,30661.76471,0.304117647,8.982843137,1.158333333,0.727272727,1,2
57,1.138235294,1.600000E+18,988235.2941,276838.2353,0.278235294,5.723039216,1.024019608,0.090909091,1,1
58,0.894705882,1.976470E+18,533333.3333,131250,0.322941176,5.894607843,1.063235294,0.545454545,1,2
59,1.921764706,1.294120E+18,380392.1569,159044.1176,0.171176471,5.012254902,1.107352941,0.090909091,1,1
60,1.159411765,2.470590E+18,494117.6471,155073.5294,0.141764706,7.904411765,1.015196078,0.363636364,1,2
61,1.180588235,1.835290E+18,1074509.804,63750,0.215882353,7.291666667,1.089705882,0.818181818,1,1
62,1.191176471,4.823530E+18,964705.8824,106102.9412,0.165294118,7.830882353,1.169117647,1,1,2
63,2.112352941,3.129410E+18,709803.9216,114044.1176,0.182941176,6.066176471,1.10245098,0.727272727,1,1
64,1.212352941,3.435290E+18,313725.4902,76985.29412,0.245294118,7.095588235,1.028921569,0.181818182,1,2
65,1.222941176,1.741180E+18,478431.3725,282132.3529,0.184117647,8.272058824,1.190686275,0.818181818,1,1
66,1.233529412,2.729410E+18,749019.6078,139191.1765,0.124117647,5.208333333,1.187745098,0.909090909,1,2
67,1.244117647,2.164710E+18,419607.8431,249044.1176,0.225294118,5.428921569,1.007352941,0.363636364,1,1
68,1.074705882,1.411760E+18,929411.7647,237132.3529,0.306470588,9.914215686,1.071078431,0.181818182,1,2
69,1.265294118,3.035290E+18,341176.4706,189485.2941,0.200588235,8.68872549,1.067156863,0.727272727,1,1
70,1.275882353,2.564710E+18,650980.3922,223897.0588,0.313529412,6.654411765,1.177941176,0.545454545,1,2
71,1.297058824,4.023530E+18,1035294.118,147132.3529,0.138235294,9.791666667,1.06127451,0.545454545,1,1
72,1.879411765,1.717650E+18,878431.3725,92867.64706,0.338235294,6.605392157,1.125980392,0.454545455,1,2
73,2.313529412,3.294120E+17,423529.4118,270220.5882,0.211176471,6.948529412,1.123039216,0.545454545,1,1
74,2.175882353,4.847060E+18,756862.7451,226544.1176,0.272352941,8.100490196,1.036764706,0.363636364,1,2
75,1.328823529,3.270590E+18,1003921.569,211985.2941,0.242941176,7.879901961,1.093627451,0.090909091,1,1
76,1.339411765,9.882350E+17,458823.5294,49191.17647,0.315882353,9.350490196,1.023039216,0.272727273,1,2
77,2.472352941,2.376470E+18,827450.9804,43897.05882,0.299411765,5.674019608,1.160294118,0.818181818,1,1
78,1.360588235,2.823530E+18,545098.0392,95514.70588,0.260588235,5.06127451,1.087745098,0.090909091,1,2
79,1.371176471,1.529410E+18,1050980.392,156397.0588,0.231176471,6.507352941,1.170098039,0.454545455,1,1
80,2.101764706,2.682350E+18,811764.7059,86250,0.286470588,9.522058824,1.004411765,0.272727273,1,2
81,1.847647059,3.976470E+18,705882.3529,219926.4706,0.104117647,7.071078431,1.162254902,0.363636364,1,1
82,2.091176471,1.011760E+18,1015686.275,295367.6471,0.134705882,8.884803922,1.095588235,0.727272727,1,2
83,1.413529412,4.094120E+18,615686.2745,178897.0588,0.271176471,5.772058824,1.114215686,1,1,1
84,1.424117647,3.482350E+18,925490.1961,59779.41176,0.140588235,6.678921569,1.145588235,0.818181818,1,2
85,1.434705882,2.258820E+18,717647.0588,259632.3529,0.15,8.958333333,1.044607843,0,1,1
86,1.445294118,1.670590E+18,1094117.647,39926.47059,0.168823529,8.639705882,1.017156863,0.636363636,1,2
87,1.455882353,4.282350E+18,941176.4706,33308.82353,0.33,7.022058824,1.069117647,0.636363636,1,1
88,1.582941176,3.835290E+18,1054901.961,251691.1765,0.185294118,7.56127451,1.109313725,0.454545455,1,2
89,1.477058824,3.623530E+18,513725.4902,206691.1765,0.120588235,9.571078431,1.030882353,0.272727273,1,1
90,1.487647059,4.494120E+18,886274.5098,103455.8824,0.257058824,9.963235294,1.18872549,0.090909091,1,2
91,1.498235294,5.882350E+17,694117.6471,231838.2353,0.173529412,5.698529412,1.133823529,0.545454545,1,1
92,1.508823529,3.247060E+18,894117.6471,153750,0.284117647,5.134803922,1.03872549,0.727272727,1,2
93,1.540588235,3.576470E+18,721568.6275,280808.8235,0.324117647,6.433823529,1.120098039,0.272727273,1,1
94,1.519411765,4.211760E+18,643137.2549,263602.9412,0.113529412,8.394607843,1.08872549,0.818181818,1,2
95,1.53,2.611760E+18,627450.9804,54485.29412,0.197058824,6.850490196,1.048529412,1,1,1
96,1.551176471,4.705880E+17,737254.902,70367.64706,0.251176471,9.767156863,1.082843137,0.545454545,1,2
97,1.699411765,2.447060E+18,1090196.078,144485.2941,0.301764706,5.992647059,1.077941176,0.181818182,1,1
98,1.572352941,1.200000E+18,325490.1961,166985.2941,0.273529412,6.262254902,1.01127451,0.636363636,1,2
