Column1,BrMin,BrFactor_ADAPT,PoyntingFluxPerBSi,LperpTimesSqrtBSi,StocasticExponent,rMin_AWSoMR,rMinWaveReflection,realization,pfss,UseSurfaceWaveRefl,rmse_Ur,rmse_Np,rmse_B,rmse_T,shift,Tmin,Tmax
0,9.786002587,0.663890855,627477.0748,281445.0651,0.127047291,1.055335872,1.152832013,0.727272727,1,1,95.02414417425183,7.100270054019687,4.726450156340545,44026.83046523845,-30,0.2,0.8
1,1.590428385,1.42413834,307670.4156,225304.8284,0.294030511,1.062620138,1.102447891,0.363636364,1,2,101.10965869762806,10.57626670144473,3.8550905424173245,47445.10236372244,-20,0.2,0.8
2,6.212331965,1.003022277,351995.2234,136447.176,0.330024691,1.08467317,1.169549707,0.090909091,1,1,105.94498911642823,6.0013007676088685,4.1853892944450966,49205.6768155424,-6,0.2,0.8
3,3.563326197,0.581093181,408669.8372,172381.7852,0.184033553,1.124034164,1.155343821,0.272727273,1,2,135.3839619932648,6.95881081496628,5.189438482068888,41612.10930720613,-15,0.2,0.8
4,9.23930577,1.307543416,450208.5302,126236.9991,0.191910071,1.061300727,1.109828719,0.272727273,1,1,912.3638689380583,17149.316424881836,398.0570116194203,323849.42451392557,48,0.2,0.8
5,1.087390904,0.89869488,462564.6615,295539.5171,0.143014446,1.099869206,1.100655012,0.454545455,1,2,93.09458208338205,6.173570074735464,4.426795623092496,39348.0445892508,-17,0.2,0.8
6,5.044858684,0.550009916,779931.6622,100230.7196,0.257210905,1.137016705,1.177377326,0.545454545,1,1,71.89922750928635,6.597917751532129,4.756904712899363,44691.28303054406,-34,0.2,0.8
7,4.935757723,0.69865034,538828.4126,149443.6491,0.284117733,1.052794808,1.076321852,0.363636364,1,2,83.63918444465205,6.259059374153825,4.6331799316160645,49423.44917163494,-11,0.2,0.8
8,2.901465974,1.781089588,331966.7041,118390.902,0.324354288,1.076188618,1.167012694,0.0,1,1,609.1145788736821,1576.0240342313148,197.9750834933649,136388.92043614725,48,0.2,0.8
9,4.076198598,1.135526209,364735.979,236813.9022,0.275035316,1.144978463,1.186329001,0.363636364,1,2,55.8422545422017,7.256456332334178,4.248861711682282,45663.22901895616,-4,0.2,0.8
10,7.281993353,0.818014945,693867.2842,185379.7153,0.198066627,1.066701951,1.107566518,0.272727273,1,1,102.92799951440736,12.733457292445166,3.968452419199378,49059.23920517024,-2,0.2,0.8
11,8.746327104,0.748751527,319922.136,57256.79543,0.221051483,1.131063303,1.170625626,1.0,1,2,71.92899021148243,6.3734984399267836,4.878946437223116,49352.073937577356,-5,0.2,0.8
12,8.007088313,0.600414681,946344.945,156293.7567,0.206577629,1.058742493,1.19178172,0.090909091,1,1,109.8931719332783,17.79574835795111,4.6483552250406905,49413.17665146597,-48,0.2,0.8
13,3.360737755,0.91565448,610227.944,248243.1755,0.336242866,1.121497286,1.141738242,0.090909091,1,2,78.3857595610977,11.359315939213252,3.8000426386490385,47186.60096660056,-8,0.2,0.8
14,5.16516549,1.171831407,331194.295,192063.2046,0.139202769,1.081135227,1.165667625,0.909090909,1,1,110.84893470120817,10.642685980839646,4.2410954381096255,48019.34739813916,-9,0.2,0.8
15,2.012370969,0.715445113,384915.2237,102147.3433,0.117327852,1.116773458,1.198770698,0.454545455,1,2,89.23557680012541,5.965447925319644,5.030030300728711,40839.077221261745,-28,0.2,0.8
16,4.268545944,0.652628333,715139.9786,62865.13751,0.149532684,1.054531358,1.168356401,0.090909091,1,1,128.12013074342138,9.86867528099692,4.462270087162629,68011.74629988502,6,0.2,0.8
17,9.676204277,0.868720301,429016.5015,205583.7539,0.27861379,1.126262793,1.191368239,0.0,1,2,62.7431459123405,6.472387257012265,4.4246263443908544,46635.504715508076,-1,0.2,0.8
18,1.4659852,1.084812939,512398.9291,284439.4537,0.201878245,1.088407286,1.137170542,0.363636364,1,1,79.36582674965274,18.091463186497915,3.9007164460409927,45572.44602489475,-9,0.2,0.8
19,5.711870494,0.799292313,553522.8245,77460.8659,0.181565662,1.102769413,1.174392643,0.0,1,2,89.3172518550776,9.28045680741712,4.214266158225232,48587.47680377102,-8,0.2,0.8
20,7.162355513,0.613045782,498565.6505,261240.9047,0.290101761,1.06503903,1.105099006,0.181818182,1,1,71.99090415747585,6.032148858096636,4.911512718066665,51179.78644532936,2,0.2,0.8
21,8.236026093,0.952605767,524656.7419,116242.9859,0.13306086,1.077044258,1.162277427,0.0,1,2,138.02375846287003,20.907647278177713,4.336650635267179,49182.42971887258,48,0.2,0.8
22,0.034959924,1.269888364,441764.1213,36859.06522,0.326337196,1.050425496,1.141713308,0.090909091,1,1,408.6358547663375,827.5999840215344,29.18731701553069,58986.08572788943,0,0.2,0.8
23,7.688696289,1.390074899,397559.7588,271071.83,0.187729328,1.112695065,1.117041775,0.0,1,2,81.70582903193605,17.00053854176353,3.7914998660294605,43455.15690032502,-11,0.2,0.8
24,0.894489405,0.564010592,667268.7618,219678.2786,0.234754666,1.09750219,1.136606442,0.545454545,1,1,70.03814696221139,5.104619334143347,4.904792543794433,44387.77823458969,-31,0.2,0.8
25,4.5084431,1.034351699,343545.1014,90457.41159,0.195832425,1.11922793,1.194556829,0.363636364,1,2,96.91936305446167,7.701383255778987,4.254369792214565,47445.153155022475,-21,0.2,0.8
26,9.124931712,0.68536084,801543.9298,165004.4893,0.321632311,1.090963607,1.196312236,0.818181818,1,1,82.7461430678422,15.25550106749527,4.385703843621448,50159.554949091755,-39,0.2,0.8
27,3.353913063,1.329648294,324341.6296,296092.7777,0.107056712,1.056372426,1.118500387,0.0,1,2,77.77492656411242,9.671938734515448,4.038786808261349,43044.38775493026,-12,0.2,0.8
28,8.84309764,0.571627555,365981.9784,65379.07912,0.156417133,1.067554541,1.148776936,0.454545455,1,1,106.5789154927779,6.976041312193447,4.961964787192779,46116.178733035915,-17,0.2,0.8
29,7.368172652,0.760874907,734097.0717,159505.4436,0.124857287,1.105312394,1.199387704,0.545454545,1,2,81.18492702613342,15.991205631285025,4.160341939709911,43252.063430940594,-36,0.2,0.8
30,1.497135903,0.957694109,423345.522,236297.8486,0.235774352,1.083003761,1.100045269,0.909090909,1,1,86.4771138314911,7.967472112383926,4.200260054791036,48892.52024308559,-7,0.2,0.8
31,2.651220157,0.622781502,597093.668,107109.9763,0.213755514,1.122024056,1.129602772,0.181818182,1,2,77.27373974142623,5.6036525061373075,4.964103696066128,46069.88936820382,-48,0.2,0.8
32,4.013280494,0.808845839,455407.748,231063.2756,0.314279168,1.059778807,1.182307273,0.727272727,1,1,79.11090349678786,6.461576807158733,4.3871313366552505,49762.04167646508,-6,0.2,0.8
33,8.164561295,1.096541615,410695.5606,134824.8239,0.309279237,1.064709586,1.073263375,0.727272727,1,2,133.27257728352978,8.679498074356239,4.212176055752054,49534.4886595804,-2,0.2,0.8
34,0.124783036,0.873890443,530696.0303,85000.37275,0.112267528,1.08638573,1.086996795,0.727272727,1,1,114.27991794960334,7.479095662136013,4.449489636069889,47169.36085189575,-6,0.2,0.8
35,7.773510143,0.722882167,686619.1443,255920.3416,0.251798241,1.101857185,1.183714098,0.545454545,1,2,85.27350568539329,8.711609400836002,4.59133697023993,45695.47682272164,-34,0.2,0.8
36,0.828090918,1.517015398,353239.7922,166520.4704,0.208537587,1.070677107,1.096219453,0.0,1,1,126.49239921131773,12.365800911617802,3.9794970949068786,47093.439963067656,-3,0.2,0.8
37,6.349612207,0.927145392,312088.4787,127764.4649,0.167905347,1.142593654,1.173778952,0.909090909,1,2,68.47138747984114,5.637962513054223,4.636681151801651,47753.11784478781,-3,0.2,0.8
38,2.206954272,0.593225029,844714.6295,272456.498,0.282103635,1.053244414,1.171457548,0.454545455,1,1,78.36121116359095,10.617034985310028,4.63642548745781,49597.08921331647,-48,0.2,0.8
39,9.738970911,1.617818721,338343.9763,262883.6646,0.310590631,1.131900965,1.159102524,0.363636364,1,2,85.07096285801727,16.655867676183316,3.5040035777823753,44451.350609884204,-10,0.2,0.8
40,1.694919004,0.758131921,621820.9846,177175.5256,0.147401392,1.094048411,1.123366337,0.363636364,1,1,86.60913779564953,8.323075071665162,4.291246119594997,55464.239924058056,-1,0.2,0.8
41,8.285649426,0.626234667,859414.7485,224448.027,0.176270207,1.057629122,1.067856673,0.727272727,1,2,87.36597815408246,11.514395133788236,4.7334420261318595,45560.024547376335,-48,0.2,0.8
42,3.083416419,0.823341224,395532.891,31112.65427,0.305349472,1.091812141,1.17997979,0.636363636,1,1,106.80434832948238,5.105204541228577,4.462267978886555,51566.85052156937,-8,0.2,0.8
43,5.424616649,0.705930485,440518.4081,269532.1952,0.212458928,1.084244834,1.142479018,0.909090909,1,2,106.2829731337359,6.055960769141717,4.978207527089518,42173.805292843615,-24,0.2,0.8
