qoi,mapCR,model,run,metric,shift,Tmin,Tmax
Ur,GONG2152,AWSoMR,2,98.18939213281054,48,0.2,0.8
Ur,GONG2152,AWSoMR,3,96.3384621142897,48,0.2,0.8
Ur,GONG2152,AWSoMR,4,94.56748774894743,48,0.2,0.8
Ur,GONG2152,AWSoMR,5,93.74687601254897,48,0.2,0.8
Ur,GONG2152,AWSoMR,6,69.47111204688349,-30,0.2,0.8
Ur,ADAPT2152,AWSoMR,1,214.37056382449654,48,0.2,0.8
Ur,ADAPT2152,AWSoMR,2,120.12993097977585,48,0.2,0.8
Ur,ADAPT2152,AWSoMR,3,1272.4614781851458,-48,0.2,0.8
Ur,ADAPT2152,AWSoMR,6,137.55410598921966,48,0.2,0.8
Ur,GONG2154,AWSoMR,1,39.479122116523136,17,0.2,0.8
Ur,GONG2154,AWSoMR,2,39.664723739979564,-1,0.2,0.8
Ur,GONG2154,AWSoMR,3,90.14032384541106,48,0.2,0.8
Ur,GONG2154,AWSoMR,4,95.38215321165075,48,0.2,0.8
Ur,GONG2154,AWSoMR,5,80.17247995018684,48,0.2,0.8
Ur,GONG2154,AWSoMR,6,110.08219161466906,-48,0.2,0.8
Ur,ADAPT2154,AWSoMR,1,469.4366609824234,-48,0.2,0.8
Ur,ADAPT2154,AWSoMR,2,235.5416842219115,-48,0.2,0.8
Ur,ADAPT2154,AWSoMR,3,201.18005715987601,-48,0.2,0.8
Ur,ADAPT2154,AWSoMR,4,232.82062926486157,48,0.2,0.8
Ur,ADAPT2154,AWSoMR,5,234.66359749621117,48,0.2,0.8
Ur,ADAPT2154,AWSoMR,6,143.29639614703908,-48,0.2,0.8
Np,GONG2208,AWSoM,1,17.2765900084825,48,0.2,0.8
Np,GONG2208,AWSoM,2,8.888877949734008,48,0.2,0.8
Np,GONG2208,AWSoM,3,5.121915369573044,-20,0.2,0.8
Np,GONG2208,AWSoM,4,10.02247326911763,48,0.2,0.8
Np,GONG2208,AWSoM,5,6.983380562560561,48,0.2,0.8
Np,GONG2208,AWSoM,6,20.7162955444857,-29,0.2,0.8
Np,ADAPT2208,AWSoM,1,46.94443507244625,-48,0.2,0.8
Np,ADAPT2208,AWSoM,2,4.557231976448993,14,0.2,0.8
Np,ADAPT2208,AWSoM,3,7.616620410085457,1,0.2,0.8
Np,ADAPT2208,AWSoM,4,6.478249096581484,-24,0.2,0.8
Np,ADAPT2208,AWSoM,5,6.5320568466253865,-42,0.2,0.8
Np,ADAPT2208,AWSoM,6,5.076453280104456,-36,0.2,0.8
Np,GONG2209,AWSoM,1,5.561201871401332,48,0.2,0.8
Np,GONG2209,AWSoM,2,7.022718555451245,48,0.2,0.8
Np,GONG2209,AWSoM,3,15.915524133541677,37,0.2,0.8
Np,GONG2209,AWSoM,4,48.26119802464912,42,0.2,0.8
Np,GONG2209,AWSoM,5,8.928344328620293,48,0.2,0.8
Np,GONG2209,AWSoM,6,6.385320985177083,13,0.2,0.8
Np,ADAPT2209,AWSoM,1,19.15269151327188,29,0.2,0.8
Np,ADAPT2209,AWSoM,2,5.30393071730141,-11,0.2,0.8
Np,ADAPT2209,AWSoM,3,5.855683833496174,-14,0.2,0.8
Np,ADAPT2209,AWSoM,4,39.86029560108215,21,0.2,0.8
Np,ADAPT2209,AWSoM,5,5.130544984680912,-8,0.2,0.8
Np,ADAPT2209,AWSoM,6,54.52988921123927,-48,0.2,0.8
Np,GONG2152,AWSoM,1,9.869013905479223,-27,0.2,0.8
Np,GONG2152,AWSoM,2,72.96364844205682,-48,0.2,0.8
Np,GONG2152,AWSoM,3,127.52611328821332,1,0.2,0.8
Np,GONG2152,AWSoM,4,21.343397698299558,-48,0.2,0.8
Np,GONG2152,AWSoM,5,58.10026385837485,48,0.2,0.8
Np,GONG2152,AWSoM,6,55.01566916653199,48,0.2,0.8
Np,ADAPT2152,AWSoM,1,74.68616496208625,-48,0.2,0.8
Np,ADAPT2152,AWSoM,2,179.41586755420744,-30,0.2,0.8
Np,ADAPT2152,AWSoM,3,58.573674251320504,24,0.2,0.8
Np,ADAPT2152,AWSoM,4,31.99727369127761,-48,0.2,0.8
Np,ADAPT2152,AWSoM,5,79.60057766398683,-48,0.2,0.8
Np,ADAPT2152,AWSoM,6,5.918571882223394,48,0.2,0.8
Np,GONG2154,AWSoM,1,102.68232982740322,48,0.2,0.8
Np,GONG2154,AWSoM,2,64.31929420016706,-48,0.2,0.8
Np,GONG2154,AWSoM,3,70.24235457370169,-48,0.2,0.8
Np,GONG2154,AWSoM,4,9.015646456970677,2,0.2,0.8
Np,GONG2154,AWSoM,5,16.584211900419866,-48,0.2,0.8
Np,GONG2154,AWSoM,6,101.43206746810306,-13,0.2,0.8
Np,ADAPT2154,AWSoM,1,102.62114774521564,8,0.2,0.8
Np,ADAPT2154,AWSoM,2,29.129046041691506,-48,0.2,0.8
Np,ADAPT2154,AWSoM,3,10.232352408066733,-48,0.2,0.8
Np,ADAPT2154,AWSoM,4,25.655355709593714,14,0.2,0.8
Np,ADAPT2154,AWSoM,5,28.84895355774779,25,0.2,0.8
Np,ADAPT2154,AWSoM,6,12.726886369133771,48,0.2,0.8
Np,GONG2208,AWSoMR,1,8.720422339660724,44,0.2,0.8
Np,GONG2208,AWSoMR,2,5.296208841002762,-48,0.2,0.8
Np,GONG2208,AWSoMR,3,25.07910893400682,48,0.2,0.8
Np,GONG2208,AWSoMR,4,9.639408490741374,48,0.2,0.8
Np,GONG2208,AWSoMR,5,10.363517169466967,48,0.2,0.8
Np,GONG2208,AWSoMR,6,20.551284590160314,48,0.2,0.8
Np,ADAPT2208,AWSoMR,1,55.9970137723139,-48,0.2,0.8
Np,ADAPT2208,AWSoMR,2,9.143071782832617,-48,0.2,0.8
Np,ADAPT2208,AWSoMR,3,26.434696362809028,-48,0.2,0.8
Np,ADAPT2208,AWSoMR,4,35.8327308899731,-48,0.2,0.8
Np,ADAPT2208,AWSoMR,5,38.580928701870796,-48,0.2,0.8
Np,ADAPT2208,AWSoMR,6,21.162430457874997,-48,0.2,0.8
