qoi,mapCR,model,t,value
Ur,GONG2208,AWSoM,145,383.0
Ur,GONG2208,AWSoM,146,382.0
Ur,GONG2208,AWSoM,147,387.0
Ur,GONG2208,AWSoM,148,384.0
Ur,GONG2208,AWSoM,149,379.0
Ur,GONG2208,AWSoM,150,382.0
Ur,GONG2208,AWSoM,151,393.0
Ur,GONG2208,AWSoM,152,395.0
Ur,GONG2208,AWSoM,153,382.0
Ur,GONG2208,AWSoM,154,378.0
Ur,GONG2208,AWSoM,155,373.0
Ur,GONG2208,AWSoM,156,372.0
Ur,GONG2208,AWSoM,157,367.0
Ur,GONG2208,AWSoM,158,366.0
Ur,GONG2208,AWSoM,159,365.0
Ur,GONG2208,AWSoM,160,364.0
Ur,GONG2208,AWSoM,161,361.0
Ur,GONG2208,AWSoM,162,359.0
Ur,GONG2208,AWSoM,163,353.0
Ur,GONG2208,AWSoM,164,353.0
Ur,GONG2208,AWSoM,165,351.0
Ur,GONG2208,AWSoM,166,355.0
Ur,GONG2208,AWSoM,167,348.0
Ur,GONG2208,AWSoM,168,344.0
Ur,GONG2208,AWSoM,169,339.0
Ur,GONG2208,AWSoM,170,335.0
Ur,GONG2208,AWSoM,171,331.0
Ur,GONG2208,AWSoM,172,324.0
Ur,GONG2208,AWSoM,173,321.0
Ur,GONG2208,AWSoM,174,319.0
Ur,GONG2208,AWSoM,175,317.0
Ur,GONG2208,AWSoM,176,315.0
Ur,GONG2208,AWSoM,177,317.0
Ur,GONG2208,AWSoM,178,336.0
Ur,GONG2208,AWSoM,179,342.0
Ur,GONG2208,AWSoM,180,347.0
Ur,GONG2208,AWSoM,181,345.0
Ur,GONG2208,AWSoM,182,348.0
Ur,GONG2208,AWSoM,183,346.0
Ur,GONG2208,AWSoM,184,336.0
Ur,GONG2208,AWSoM,185,351.0
Ur,GONG2208,AWSoM,186,353.0
Ur,GONG2208,AWSoM,187,343.0
Ur,GONG2208,AWSoM,188,339.0
Ur,GONG2208,AWSoM,189,341.0
Ur,GONG2208,AWSoM,190,342.0
Ur,GONG2208,AWSoM,191,340.0
Ur,GONG2208,AWSoM,192,337.0
Ur,GONG2208,AWSoM,193,337.0
Ur,GONG2208,AWSoM,194,343.0
Ur,GONG2208,AWSoM,195,340.0
Ur,GONG2208,AWSoM,196,344.0
Ur,GONG2208,AWSoM,197,340.0
Ur,GONG2208,AWSoM,198,340.0
Ur,GONG2208,AWSoM,199,336.0
Ur,GONG2208,AWSoM,200,335.0
Ur,GONG2208,AWSoM,201,341.0
Ur,GONG2208,AWSoM,202,344.0
Ur,GONG2208,AWSoM,203,341.0
Ur,GONG2208,AWSoM,204,345.0
Ur,GONG2208,AWSoM,205,350.0
Ur,GONG2208,AWSoM,206,349.0
Ur,GONG2208,AWSoM,207,344.0
Ur,GONG2208,AWSoM,208,340.0
Ur,GONG2208,AWSoM,209,339.0
Ur,GONG2208,AWSoM,210,339.0
Ur,GONG2208,AWSoM,211,346.0
Ur,GONG2208,AWSoM,212,356.0
Ur,GONG2208,AWSoM,213,359.0
Ur,GONG2208,AWSoM,214,357.0
Ur,GONG2208,AWSoM,215,357.0
Ur,GONG2208,AWSoM,216,359.0
Ur,GONG2208,AWSoM,217,353.0
Ur,GONG2208,AWSoM,218,365.0
Ur,GONG2208,AWSoM,219,370.0
Ur,GONG2208,AWSoM,220,368.0
Ur,GONG2208,AWSoM,221,374.0
Ur,GONG2208,AWSoM,222,382.0
Ur,GONG2208,AWSoM,223,389.0
Ur,GONG2208,AWSoM,224,398.0
Ur,GONG2208,AWSoM,225,394.0
Ur,GONG2208,AWSoM,226,393.0
Ur,GONG2208,AWSoM,227,399.0
Ur,GONG2208,AWSoM,228,405.0
Ur,GONG2208,AWSoM,229,423.0
Ur,GONG2208,AWSoM,230,422.0
Ur,GONG2208,AWSoM,231,413.0
Ur,GONG2208,AWSoM,232,417.0
Ur,GONG2208,AWSoM,233,418.0
Ur,GONG2208,AWSoM,234,416.0
Ur,GONG2208,AWSoM,235,427.0
Ur,GONG2208,AWSoM,236,467.0
Ur,GONG2208,AWSoM,237,473.0
Ur,GONG2208,AWSoM,238,473.0
Ur,GONG2208,AWSoM,239,478.0
Ur,GONG2208,AWSoM,240,466.0
Ur,GONG2208,AWSoM,241,469.0
Ur,GONG2208,AWSoM,242,480.0
Ur,GONG2208,AWSoM,243,476.0
Ur,GONG2208,AWSoM,244,474.0
Ur,GONG2208,AWSoM,245,475.0
Ur,GONG2208,AWSoM,246,475.0
Ur,GONG2208,AWSoM,247,472.0
Ur,GONG2208,AWSoM,248,484.0
Ur,GONG2208,AWSoM,249,469.0
Ur,GONG2208,AWSoM,250,469.0
Ur,GONG2208,AWSoM,251,461.0
Ur,GONG2208,AWSoM,252,460.0
Ur,GONG2208,AWSoM,253,457.0
Ur,GONG2208,AWSoM,254,433.0
Ur,GONG2208,AWSoM,255,433.0
Ur,GONG2208,AWSoM,256,441.0
Ur,GONG2208,AWSoM,257,443.0
Ur,GONG2208,AWSoM,258,439.0
Ur,GONG2208,AWSoM,259,434.0
