BrFactor_ADAPT,PoyntingFluxPerBSi,LperpTimesSqrtBSi,rmse_Ur,shift,runID
0.940333215,747942.7254,97154.99414,77.19588124645625,-3,11
1.188782192,596044.7455,211937.2769,78.01827764600799,-32,22
1.045759041,642048.6795,210409.9212,83.082389300791,-4,88
1.207197329,858316.9978,128884.6804,85.6353557814221,-28,76
1.341782468,735195.1085,198050.2632,86.37906603136142,-25,30
1.781089588,331966.7041,118390.902,86.78836682050876,-33,29
1.399307059,698871.5233,155305.3687,87.9513948728813,-37,94
1.003022277,351995.2234,136447.176,88.04001277890104,-20,10
1.496451425,792191.7578,268807.2306,88.75083688666395,-34,17
0.613045782,498565.6505,261240.9047,90.60525740187772,1,64
1.07497457,871057.7564,297081.1646,90.61680412592688,-13,50
1.281667683,543051.4971,187001.6988,92.4085520767417,-31,98
1.201969799,956869.6186,248968.6561,92.88304078131878,-7,91
1.269888364,441764.1213,36859.06522,93.0640574456432,-21,70
1.559768464,486305.5579,160494.0888,93.52930758165114,-29,61
2.137136572,390548.7908,79522.16752,94.15442183320157,-41,19
1.884763208,373326.9827,45231.86229,95.39058132786137,-36,59
1.307543416,450208.5302,126236.9991,96.1043582315495,-29,20
1.244008539,768938.1966,235572.6258,96.43306163160243,-26,58
1.135526209,364735.979,236813.9022,96.75750791443382,-26,31
0.9879696,1.089671064e6,187859.0141,96.97632895144538,-9,60
1.42413834,307670.4156,225304.8284,97.0377445010804,-18,5
1.52435414,421318.1773,70101.39383,97.37614984149025,-33,27
0.97087398,837320.3754,199295.5683,97.40656631053245,0,39
1.324206256,622870.1932,146110.948,97.82157998043124,-33,80
1.051005982,583394.1195,43160.95199,97.831583346455,-21,21
1.645394578,461923.8187,183296.4286,98.39360492830431,-41,78
0.835474134,756582.0683,133440.4141,99.74197737759417,-5,68
1.699703201,680811.8444,293469.8856,100.53430055764531,-38,67
1.596203441,702491.6355,232316.1067,101.29301707091544,-41,73
0.818014945,693867.2842,185379.7153,101.4231679900996,3,32
1.610316778,640218.6023,112868.5698,101.43207709102789,-45,37
1.261095215,904101.2406,291306.4814,101.91431728465943,-15,40
1.156660695,1.018478755e6,140651.3887,102.69632478139357,-22,14
0.91565448,610227.944,248243.1755,103.56926995426242,5,47
1.474975628,566269.6725,177679.3966,104.1605184494713,-33,63
1.372983367,526471.5154,251197.9117,104.22447622747194,-27,16
2.028003936,603687.4592,267399.5641,104.35032684998029,-39,97
1.662345906,614262.3482,203434.5751,104.55216577979083,-36,12
1.750417022,445660.8152,246107.6357,104.79267898684122,-37,1
1.21947951,681613.284,84484.46251,106.277606603405,-38,9
1.834354842,500663.843,92594.24753,107.09244620494351,-38,38
1.390074899,397559.7588,271071.83,107.28974627413326,-24,74
1.361028843,813795.6472,64785.94282,107.33223660102239,4,45
2.170811251,317600.8614,253271.823,107.50236222899933,-20,55
2.691569515,432920.1482,144023.8076,107.62522608954667,-30,41
1.084812939,512398.9291,284439.4537,108.45765733830315,-34,57
1.79775195,592116.0648,138529.1504,109.82165827094938,-25,51
2.002839311,415865.8618,279316.557,110.11300489271372,-30,43
2.035440008,305340.8589,151601.0451,110.52189016856131,-18,71
1.108667837,849671.1848,30519.25922,111.07032871812511,-15,3
2.306532964,488423.4508,48086.69027,111.79860571079514,-33,6
2.406117658,403221.2261,110790.491,111.98089648960298,-25,83
1.899794953,476171.831,217588.089,112.15484096326642,-27,34
2.110795434,434799.3873,175023.5746,112.79345714524023,-31,85
2.271748728,377900.3605,179824.1669,112.88018693999821,-22,24
2.347626932,336140.6267,222293.7959,113.30026779771384,-23,95
1.034351699,343545.1014,90457.41159,113.66895992721486,-23,79
2.594225484,474274.7137,82352.7925,114.6681651682981,-28,49
2.463816053,481126.9082,118857.6454,114.88227827110978,-29,92
2.120350006,536637.2231,59384.05689,115.61630951654753,-37,82
2.39877161,505034.8423,264953.477,117.7806627077158,-27,84
2.085988809,571741.7916,104238.7635,118.34030033135998,-39,7
2.221656811,559000.3647,273211.716,118.49909459987065,-34,33
1.507568053,654918.7213,50227.29303,119.60948558356067,-7,52
2.557282469,360579.465,214089.5617,122.43554109080665,-22,66
0.571627555,365981.9784,65379.07912,122.9972809765309,6,93
1.640223454,560294.8584,33187.6554,123.5165046533015,-26,89
1.024141434,1.006220945e6,241018.099,126.36029867322763,-11,28
0.957694109,423345.522,236297.8486,127.24270571124168,-30,99
0.663890855,627477.0748,281445.0651,128.04386025586032,5,4
0.830138294,1.057820401e6,283450.8096,129.33952914779104,1,100
0.878134245,876714.4248,191206.147,131.34944035110414,-6,90
0.770264799,1.032649857e6,275309.2572,133.6839716449496,2,72
0.564010592,667268.7618,219678.2786,134.32094578963486,0,75
2.25466566,548987.3642,227383.6401,136.55516162537668,-28,44
0.952605767,524656.7419,116242.9859,136.70127553891714,-7,69
1.171831407,331194.295,192063.2046,138.82631550397124,-27,48
2.458586686,344322.9375,286505.9793,138.99420357057002,-16,13
0.68536084,801543.9298,165004.4893,139.6889354094701,0,81
1.329648294,324341.6296,296092.7777,145.07345765999486,-16,87
0.652628333,715139.9786,62865.13751,145.68006184330977,8,54
0.889789053,975291.6496,41092.11093,148.28777986705126,-21,77
0.600414681,946344.945,156293.7567,148.3204807389003,4,42
0.868720301,429016.5015,205583.7539,150.63643814082226,-4,56
0.550009916,779931.6622,100230.7196,150.91338767840267,-1,25
0.852264308,916743.4929,122003.9471,153.91118987593484,5,2
0.69865034,538828.4126,149443.6491,161.28975602290802,5,26
0.799292313,553522.8245,77460.8659,164.54367929188908,11,62
0.678089738,902806.6993,49370.23428,175.48734776855702,1,86
0.89869488,462564.6615,295539.5171,176.956101522816,-16,23
0.715445113,384915.2237,102147.3433,178.7386417892235,-1,53
0.581093181,408669.8372,172381.7852,178.8344475823835,9,15
0.787219736,891238.3391,263872.8247,197.34612962462356,10,8
0.760874907,734097.0717,159505.4436,200.27606798694202,1,96
0.736070022,1.072642948e6,221067.4031,208.26225758401836,8,18
