BrFactor_ADAPT,PoyntingFluxPerBSi,LperpTimesSqrtBSi,rmse_Np,shift,runID
1.781089588,331966.7041,118390.902,4.336307539672614,-17,29
1.045759041,642048.6795,210409.9212,4.462734780271115,-5,88
1.390074899,397559.7588,271071.83,4.530120447816863,-16,74
2.170811251,317600.8614,253271.823,4.544846008108675,-9,55
2.035440008,305340.8589,151601.0451,4.626723218324459,-12,71
0.940333215,747942.7254,97154.99414,4.651560803527776,-6,11
0.818014945,693867.2842,185379.7153,4.7132434936892595,4,32
0.91565448,610227.944,248243.1755,4.7235532747889515,5,47
1.307543416,450208.5302,126236.9991,4.778294999999992,-27,20
1.52435414,421318.1773,70101.39383,4.803652749262883,-29,27
1.269888364,441764.1213,36859.06522,4.82565462552676,-30,70
2.002839311,415865.8618,279316.557,4.8821737628522195,-13,43
0.852264308,916743.4929,122003.9471,4.940990566151209,4,2
2.137136572,390548.7908,79522.16752,4.990826705044531,-42,19
1.051005982,583394.1195,43160.95199,5.00010526114987,-25,21
1.188782192,596044.7455,211937.2769,5.0308639685467105,-27,22
1.084812939,512398.9291,284439.4537,5.214132074408182,-27,57
1.559768464,486305.5579,160494.0888,5.228737487172418,-26,61
0.97087398,837320.3754,199295.5683,5.248889907639966,-3,39
0.835474134,756582.0683,133440.4141,5.265782502222552,-9,68
0.952605767,524656.7419,116242.9859,5.299261635883397,-2,69
2.557282469,360579.465,214089.5617,5.3082635365320545,-12,66
0.652628333,715139.9786,62865.13751,5.329940628873711,13,54
1.42413834,307670.4156,225304.8284,5.344662338101107,-5,5
0.68536084,801543.9298,165004.4893,5.361390060671786,-1,81
1.135526209,364735.979,236813.9022,5.363477649523316,-21,31
0.678089738,902806.6993,49370.23428,5.394452942584088,0,86
1.372983367,526471.5154,251197.9117,5.398391188481661,-24,16
0.878134245,876714.4248,191206.147,5.443807888130895,-5,90
1.281667683,543051.4971,187001.6988,5.455597796015774,-30,98
0.760874907,734097.0717,159505.4436,5.5693256253148045,7,96
1.329648294,324341.6296,296092.7777,5.6198881791271385,0,87
0.63596134,961240.761,74301.72422,5.654619247426421,3,35
0.799292313,553522.8245,77460.8659,5.668445367892526,15,62
0.787219736,891238.3391,263872.8247,5.743836295720119,13,8
0.736070022,1.072642948e6,221067.4031,5.76705537222869,8,18
1.034351699,343545.1014,90457.41159,5.772481676805196,-23,79
1.003022277,351995.2234,136447.176,5.77708975967861,-20,10
0.957694109,423345.522,236297.8486,5.822149677641684,-29,99
0.550009916,779931.6622,100230.7196,5.8829571673689385,-3,25
1.645394578,461923.8187,183296.4286,5.905737507377017,-43,78
0.663890855,627477.0748,281445.0651,5.9086568653023015,8,4
0.600414681,946344.945,156293.7567,5.922244776838186,11,42
1.171831407,331194.295,192063.2046,5.925691596123287,-23,48
1.884763208,373326.9827,45231.86229,5.974104200495734,-35,59
0.770264799,1.032649857e6,275309.2572,5.984198298937671,-4,72
0.89869488,462564.6615,295539.5171,5.995062972096063,-3,23
0.868720301,429016.5015,205583.7539,6.056118588109959,-1,56
0.564010592,667268.7618,219678.2786,6.094410856935414,2,75
0.69865034,538828.4126,149443.6491,6.276848739620884,-37,26
0.613045782,498565.6505,261240.9047,6.48795167719792,4,64
0.830138294,1.057820401e6,283450.8096,6.543848172860252,-4,100
0.715445113,384915.2237,102147.3433,6.557194664633693,-37,53
2.347626932,336140.6267,222293.7959,6.616385629589083,-9,95
0.889789053,975291.6496,41092.11093,6.674137783494403,-7,77
0.571627555,365981.9784,65379.07912,6.7157711430501275,9,93
0.581093181,408669.8372,172381.7852,6.813993035551445,22,15
0.748751527,319922.136,57256.79543,6.887678593005103,-5,36
2.458586686,344322.9375,286505.9793,6.906881834548952,-8,13
1.07497457,871057.7564,297081.1646,7.195375779669334,-12,50
1.108667837,849671.1848,30519.25922,7.569942985577823,-13,3
1.750417022,445660.8152,246107.6357,7.653528854436569,-36,1
1.024141434,1.006220945e6,241018.099,7.757611744691395,-8,28
1.244008539,768938.1966,235572.6258,8.065821476449559,-19,58
1.474975628,566269.6725,177679.3966,8.116163455970044,-33,63
1.899794953,476171.831,217588.089,8.266217149284001,-20,34
2.110795434,434799.3873,175023.5746,8.93317495376766,-29,85
1.341782468,735195.1085,198050.2632,8.987151797917473,-22,30
1.324206256,622870.1932,146110.948,9.079049208034599,-33,80
2.271748728,377900.3605,179824.1669,9.129186814176638,-9,24
2.691569515,432920.1482,144023.8076,9.174672358049705,-33,41
1.21947951,681613.284,84484.46251,9.674817563083042,13,9
1.79775195,592116.0648,138529.1504,9.690732764364245,-28,51
1.399307059,698871.5233,155305.3687,9.981678224169354,-31,94
2.463816053,481126.9082,118857.6454,10.077986158732589,10,92
0.9879696,1.089671064e6,187859.0141,10.161545562417553,-15,60
2.406117658,403221.2261,110790.491,10.313692376953497,-8,83
1.610316778,640218.6023,112868.5698,10.533040785992258,9,37
1.834354842,500663.843,92594.24753,10.726874346395963,-33,38
1.201969799,956869.6186,248968.6561,10.856579462091954,-7,91
2.028003936,603687.4592,267399.5641,10.913934795493724,14,97
2.39877161,505034.8423,264953.477,10.964792128912602,-31,84
1.662345906,614262.3482,203434.5751,11.482527329965706,-35,12
1.156660695,1.018478755e6,140651.3887,11.601151496198531,-18,14
2.306532964,488423.4508,48086.69027,11.635173562542642,-28,6
1.261095215,904101.2406,291306.4814,12.038730692329308,-14,40
1.207197329,858316.9978,128884.6804,12.478935758367115,-27,76
2.221656811,559000.3647,273211.716,13.609373970946875,-31,33
2.120350006,536637.2231,59384.05689,13.818966388589857,4,82
1.640223454,560294.8584,33187.6554,14.027439754238229,0,89
1.361028843,813795.6472,64785.94282,14.040063375548012,-24,45
1.699703201,680811.8444,293469.8856,14.121193398563152,15,67
1.496451425,792191.7578,268807.2306,14.738728886534746,-26,17
1.596203441,702491.6355,232316.1067,15.510414550221794,12,73
1.507568053,654918.7213,50227.29303,16.424901609082145,2,52
2.25466566,548987.3642,227383.6401,18.0382979462338,9,44
2.594225484,474274.7137,82352.7925,18.425541377235927,19,49
2.085988809,571741.7916,104238.7635,19.272796016278566,5,7
