Column1,BrMin,BrFactor_ADAPT,PoyntingFluxPerBSi,LperpTimesSqrtBSi,StocasticExponent,nChromoSiAWSoM,rMinWaveReflection,realization,pfss,UseSurfaceWaveRefl,rmse_Ur,rmse_Np,rmse_B,rmse_T,shift,Tmin,Tmax
0,8.070142604,1.750417022,445660.8152,246107.6357,0.152450354,4.561218e17,1.170932813,0.545454545,1,1,104.79267898684122,7.660478390017564,3.353732846538329,67747.69018130787,-37,0.2,0.8
1,3.768027266,0.852264308,916743.4929,122003.9471,0.241128422,4.180582e18,1.15237533,0.272727273,1,2,153.91118987593484,4.974515295887441,3.489731757301729,54813.38908663076,5,0.2,0.8
2,6.963600724,1.108667837,849671.1848,30519.25922,0.164363441,2.396476e18,1.196836308,0.818181818,1,1,111.07032871812511,7.588369416817227,2.957637639303464,60802.502351212104,-15,0.2,0.8
3,9.786002587,0.663890855,627477.0748,281445.0651,0.127047291,1.57853e18,1.152832013,0.727272727,1,1,128.04386025586032,5.935240608983378,4.093364407102263,70554.81316340413,5,0.2,0.8
4,1.590428385,1.42413834,307670.4156,225304.8284,0.294030511,4.567323e18,1.102447891,0.363636364,1,2,97.0377445010804,5.388881018308052,3.7863410857561908,68849.85761358238,-18,0.2,0.8
5,4.732412752,2.306532964,488423.4508,48086.69027,0.1115764,4.88123e18,1.161236658,0.818181818,1,2,111.79860571079514,11.67359841937513,2.878105188825106,67272.6990474076,-33,0.2,0.8
6,6.682866209,2.085988809,571741.7916,104238.7635,0.308563829,1.864312e18,1.15040052,0.181818182,1,1,118.34030033135998,20.63891813102356,3.3213766821534016,80951.8986418986,-39,0.2,0.8
7,0.233543406,0.787219736,891238.3391,263872.8247,0.219109452,2.621659e18,1.175959154,0.090909091,1,2,197.34612962462356,5.880196400289725,3.6620565434453547,68327.9215878572,10,0.2,0.8
8,3.016910783,1.21947951,681613.284,84484.46251,0.136983274,3.75364e18,1.072842201,0.272727273,1,1,106.277606603405,10.319930504629658,3.4989475806917825,84508.54044829702,-38,0.2,0.8
9,6.212331965,1.003022277,351995.2234,136447.176,0.330024691,7.424349e17,1.169549707,0.090909091,1,1,88.04001277890104,5.77708975967861,4.096960359886597,75346.63494562387,-20,0.2,0.8
10,7.570067651,0.940333215,747942.7254,97154.99414,0.298698765,3.318256e18,1.093462246,0.181818182,1,2,77.19588124645625,4.785951447384053,3.5068725654447412,66335.69415597882,-3,0.2,0.8
11,4.341646542,1.662345906,614262.3482,203434.5751,0.207376769,2.593722e18,1.119538505,0.0,1,1,104.55216577979083,11.493727889459027,3.32813155326341,73820.92093489823,-36,0.2,0.8
12,7.386461371,2.458586686,344322.9375,286505.9793,0.250615024,4.376802e18,1.185785377,0.909090909,1,2,138.99420357057002,6.931648896232923,2.8383931929575263,74359.29813846978,-16,0.2,0.8
13,0.78028792,1.156660695,1.018478755e6,140651.3887,0.101746698,3.341508e17,1.123453753,0.272727273,1,1,102.69632478139357,11.8210623232059,3.1650075622306506,68950.5806879246,-22,0.2,0.8
14,3.563326197,0.581093181,408669.8372,172381.7852,0.184033553,1.31615e18,1.155343821,0.272727273,1,2,178.8344475823835,6.906007764123234,4.499185792834907,72103.16720406208,9,0.2,0.8
15,5.353106672,1.372983367,526471.5154,251197.9117,0.230825975,3.104943e18,1.083836488,0.272727273,1,2,104.22447622747194,5.503352339375227,3.4295985961225166,75719.49098348647,-27,0.2,0.8
16,4.627243008,1.496451425,792191.7578,268807.2306,0.317827114,1.743074e18,1.195108103,0.545454545,1,1,88.75083688666395,15.294600374137781,3.247822991150173,84262.2903474121,-34,0.2,0.8
17,6.417175788,0.736070022,1.072642948e6,221067.4031,0.154813188,4.758966e18,1.102084033,0.181818182,1,2,208.26225758401836,5.76705537222869,3.6552675623036146,99341.55951907676,8,0.2,0.8
18,0.41652814,2.137136572,390548.7908,79522.16752,0.24535876,1.001694e18,1.159170086,0.454545455,1,1,94.15442183320157,4.996627964531088,3.6017405978716006,74798.98436440938,-41,0.2,0.8
19,9.23930577,1.307543416,450208.5302,126236.9991,0.191910071,4.091039e18,1.109828719,0.272727273,1,1,96.1043582315495,4.798222836976732,3.617786294170968,72480.99940988905,-29,0.2,0.8
20,2.449372543,1.051005982,583394.1195,43160.95199,0.265144296,2.279834e18,1.135841462,0.363636364,1,2,97.831583346455,5.12496123887158,3.600860656541076,76252.08085498435,-21,0.2,0.8
21,7.886477001,1.188782192,596044.7455,211937.2769,0.339821399,1.235433e18,1.110978385,0.454545455,1,1,78.01827764600799,5.217243485921255,3.5845255273110133,84215.34549871688,-32,0.2,0.8
22,1.087390904,0.89869488,462564.6615,295539.5171,0.143014446,3.018366e18,1.100655012,0.454545455,1,2,176.956101522816,6.219113345948765,4.060772894491366,87737.92584551006,-16,0.2,0.8
23,9.920830529,2.271748728,377900.3605,179824.1669,0.299588593,2.357749e18,1.135981781,0.636363636,1,2,112.88018693999821,9.19734000807989,2.758080220594934,73061.72021219703,-22,0.2,0.8
24,5.044858684,0.550009916,779931.6622,100230.7196,0.257210905,4.175052e17,1.177377326,0.545454545,1,1,150.91338767840267,5.907715740092252,3.9826096438488077,60816.6807678814,-1,0.2,0.8
25,4.935757723,0.69865034,538828.4126,149443.6491,0.284117733,3.860614e18,1.076321852,0.363636364,1,2,161.28975602290802,6.449259850112647,4.2491435909615145,82320.0466779475,5,0.2,0.8
26,6.734691106,1.52435414,421318.1773,70101.39383,0.120898274,2.04355e18,1.125089797,0.272727273,1,1,97.37614984149025,4.902619480273132,3.2413756890128735,70558.60037373309,-33,0.2,0.8
27,8.932087456,1.024141434,1.006220945e6,241018.099,0.173317878,1.980237e18,1.145543468,0.454545455,1,2,126.36029867322763,7.983659980157419,3.2553560306366514,62719.9520280359,-11,0.2,0.8
