Column1,BrMin,BrFactor_ADAPT,PoyntingFluxPerBSi,LperpTimesSqrtBSi,StocasticExponent,nChromoSiAWSoM,rMinWaveReflection,realization,pfss,UseSurfaceWaveRefl,rmse_Np,shift,Tmin,Tmax
100,4.67819104,1.688213335,378998.445,143454.1957,0.17733302,4.217254e18,1.079156076,0.363636364,1,2,4.605740031676628,46,0.2,0.8
101,0.434287714,1.113901918,775757.8827,206176.6341,0.131087229,3.477532e18,1.093172934,0.636363636,1,1,5.32776119070114,42,0.2,0.8
102,2.651220157,0.622781502,597093.668,107109.9763,0.213755514,2.945523e18,1.129602772,0.181818182,1,2,7.532585114288719,-48,0.2,0.8
103,5.700308508,1.482107827,467765.5006,62007.82101,0.260752463,1.156582e18,1.1315264,0.545454545,1,2,4.881231196652433,28,0.2,0.8
104,4.013280494,0.808845839,455407.748,231063.2756,0.314279168,2.202823e18,1.182307273,0.727272727,1,1,6.292960451309676,48,0.2,0.8
105,7.053211168,1.567113498,584444.4726,276693.6678,0.151322787,4.019743e18,1.098392399,0.090909091,1,1,5.9348496700423174,32,0.2,0.8
106,9.855766315,0.982453694,788016.3571,38374.78767,0.203830856,4.833047e18,1.115396445,0.909090909,1,2,5.418844812483291,46,0.2,0.8
107,5.022294375,2.635709402,391648.3058,244530.6022,0.127734267,2.892189e18,1.085610999,0.0,1,1,7.338163123953167,-13,0.2,0.8
108,8.164561295,1.096541615,410695.5606,134824.8239,0.309279237,3.178008e18,1.073263375,0.727272727,1,2,5.522737606096961,34,0.2,0.8
109,0.124783036,0.873890443,530696.0303,85000.37275,0.112267528,1.394925e18,1.086996795,0.727272727,1,1,5.6901277536879755,44,0.2,0.8
110,2.966448963,1.437317447,746843.0674,260120.4323,0.180082757,2.581565e17,1.14936369,0.181818182,1,2,8.34634889702118,31,0.2,0.8
111,6.006226775,0.643322241,1.013327888e6,179195.1199,0.226815573,3.245926e18,1.143765694,0.272727273,1,1,5.719249406255694,-15,0.2,0.8
112,2.155180147,1.943013746,348498.2906,53898.69581,0.13585247,2.51737e18,1.151960597,1.0,1,2,4.629621948581173,40,0.2,0.8
113,7.773510143,0.722882167,686619.1443,255920.3416,0.251798241,6.654976e17,1.183714098,0.545454545,1,2,7.532585114288719,-48,0.2,0.8
114,0.828090918,1.517015398,353239.7922,166520.4704,0.208537587,3.682417e18,1.096219453,0.0,1,1,5.122195267343181,-27,0.2,0.8
115,9.496697548,1.79266459,493380.1493,288111.7227,0.230081059,1.943673e18,1.174095917,0.090909091,1,1,7.070500964853014,41,0.2,0.8
116,3.670019337,1.063137862,969221.2773,147495.615,0.141000223,2.695667e18,1.138878211,0.0,1,2,7.08000133930146,45,0.2,0.8
117,5.615437818,1.285927073,889357.5264,89204.83685,0.333984044,8.834341e17,1.099106669,0.909090909,1,1,10.200109466608794,27,0.2,0.8
118,4.404040817,1.177224636,629308.7732,42608.09113,0.244610672,4.640315e18,1.160648534,0.545454545,1,2,5.453498545349072,47,0.2,0.8
119,6.349612207,0.927145392,312088.4787,127764.4649,0.167905347,1.657233e18,1.173778952,0.909090909,1,2,6.913872058051382,42,0.2,0.8
120,9.152525214,1.351367056,915450.5728,218425.7047,0.115060823,2.320555e18,1.188206682,1.0,1,1,10.435669052140682,26,0.2,0.8
121,2.681220218,2.247534475,447541.6755,73747.37008,0.2663316,3.368492e18,1.122582389,0.818181818,1,2,6.538160962496951,32,0.2,0.8
122,5.881523467,1.993104637,517287.3234,163150.8381,0.193066687,3.796969e17,1.102004963,0.363636364,1,1,9.052806486410848,31,0.2,0.8
123,2.206954272,0.593225029,844714.6295,272456.498,0.282103635,4.108325e18,1.171457548,0.454545455,1,1,5.7308300783634545,8,0.2,0.8
124,3.892058458,1.249325453,805718.1861,137171.8837,0.200259534,1.33301e18,1.145613994,0.545454545,1,2,7.627439866568773,28,0.2,0.8
125,6.936109918,0.96579462,935679.5933,83627.662,0.273318425,3.144067e18,1.126883849,0.272727273,1,1,6.1619216023922245,38,0.2,0.8
126,1.230185782,1.82250965,402123.6185,208264.8732,0.124039835,1.491447e18,1.173477969,0.0,1,2,4.590532753679623,46,0.2,0.8
