BrFactor_ADAPT,PoyntingFluxPerBSi,LperpTimesSqrtBSi,rmse_Ur,shift,runID
1.341120567,533388.3194,105853.4634,88.52106245160496,47,196
1.564632087,437353.7242,32337.48694,89.35260891598729,47,325
1.851120526,643076.1673,49666.31306,90.96274065425469,48,161
1.482107827,467765.5006,62007.82101,91.68226771653907,48,4
0.968123595,886272.233,258906.3001,93.21502495488109,48,345
1.370638474,476675.3897,91616.23024,93.91532590285344,47,239
1.29386208,342255.9064,41925.45477,94.11539402128183,48,434
0.92883538,1.049375992e6,213453.772,94.65873669378138,18,53
1.280328276,788291.9628,86874.0435,95.13062665858925,48,481
1.096946083,948419.4966,184127.3981,95.24406447967388,27,61
0.96579462,935679.5933,83627.662,95.3816253375251,47,26
1.08006095,1.007814552e6,228141.4022,95.4562335528546,48,120
1.598555306,554031.1152,62579.74181,95.87754290667374,47,454
1.285927073,889357.5264,89204.83685,96.42816811617813,38,18
1.615473716,689704.5085,88136.74757,96.50082228590907,48,349
0.869116816,1.027014781e6,163710.597,97.19798695581662,22,172
1.431690412,609177.1141,75817.96267,97.29100543483312,48,58
0.805925421,1.000746503e6,63304.71544,97.35783632800327,6,488
1.077263957,919686.5907,54167.84203,97.72919180137725,35,270
1.036176349,988782.5504,190717.201,97.7986278517034,23,462
1.107336532,694961.1545,200128.7141,98.05938414235267,40,388
1.168128976,826721.0314,252843.7154,98.41747265415322,33,110
1.001716854,903580.7194,238687.3202,98.80264722884972,48,396
1.76410938,424268.8701,158879.8396,99.08081309174591,48,150
1.402200059,761537.4792,172975.4366,99.44123257685303,38,42
0.894929011,767027.2529,216829.2947,100.07695351238581,28,86
0.728625982,773895.2288,71617.89002,100.17440987707677,37,47
1.417568405,657884.6373,117523.212,100.24288795520663,45,229
1.199575695,311583.2163,146732.2474,100.26570487745926,37,470
1.673817213,431120.4987,63556.73316,100.51522210933545,48,108
1.182830305,444656.7951,105217.686,100.63776660373061,48,246
1.493563842,537579.2839,101043.5292,100.6648713373132,47,404
1.067994396,672864.1529,69576.40322,100.98402178405819,43,178
1.37786463,729938.4492,39524.28047,101.10960099801756,37,210
0.702213107,742197.7978,209287.3474,101.47437658493554,40,199
1.253056806,302001.7808,80082.82562,101.52359484636033,41,186
0.977512489,984387.0912,109454.8559,101.75465646008541,14,264
1.409607469,408356.8474,220782.1974,102.18868553096928,46,412
1.72180698,612423.1109,155799.9775,102.59208574406834,44,118
1.22486993,632713.3302,108202.797,102.82893657729441,48,378
1.215666291,985672.853,157921.1869,102.90576642556029,37,72
0.923431623,808323.4152,53536.75588,102.95227922986308,17,183
1.814682703,651617.8424,113429.2259,103.15963640318628,43,205
1.811897267,602913.3918,87577.24817,103.32548261226687,48,406
1.175404512,379898.6949,266406.0894,103.49198801804718,35,341
0.794468168,1.051062277e6,137705.7277,104.47374646912267,24,126
1.090500569,561298.8815,174171.3423,104.69333372019334,48,331
1.241648299,523551.0457,135309.6465,104.8964273155439,48,444
1.465350089,376000.45,88690.06658,104.99807604232585,48,98
1.236228687,574651.3318,57769.80562,105.6562653700629,43,170
0.884627963,926535.346,151327.2643,105.81631716487492,25,311
2.004593498,568384.5369,38117.1011,105.85930196555015,48,267
1.527404794,470999.1591,130758.5753,106.11439207991967,37,361
1.022834861,451510.3018,140887.4096,106.24949280392867,39,416
1.416311701,557386.9394,130402.9413,106.6438147175216,48,88
0.777673643,992696.0425,114252.4656,106.99950838562457,24,56
1.170525864,976529.3224,89690.24887,107.02979453480772,34,430
1.45614642,829056.0372,35049.04505,107.151146158995,48,351
2.153993219,453215.6346,37419.52819,107.28881326766782,48,176
1.004731427,954095.077,228613.9416,107.36342896818883,34,215
0.742222191,724406.3186,130165.1801,107.66743066502217,44,241
2.029758268,355855.1405,41365.37602,107.8539640529896,48,315
0.813195439,998413.5054,259607.4141,107.90198125465955,34,97
0.972740864,682707.9294,31799.41251,107.97192937393051,22,426
0.660141537,930438.2047,203534.1867,108.03658207290684,24,67
1.568444799,732856.3238,106820.6512,108.12953671171793,48,487
0.815653676,848629.5875,83138.13211,108.24192867779712,35,418
1.441052408,448571.0736,182736.8675,108.55663027153852,48,174
0.838353481,511292.4585,235808.3293,108.60338811320125,40,450
1.029544103,839363.3652,152028.9611,108.92562871246095,31,141
0.832427568,707630.2122,59130.48919,109.08770882444023,21,321
1.103510416,898623.0319,158618.7619,109.22556411499693,39,387
1.096541615,410695.5606,134824.8239,109.32667123414069,37,9
1.473118147,714683.9254,77680.09053,109.69007292254625,48,449
1.702042606,328682.6916,49113.44868,109.78966020334995,34,287
0.649346227,764677.7393,138254.4681,109.91337820436924,24,332
1.160360107,514432.7637,65896.30173,109.93272141616875,40,77
0.739837369,569646.9497,299769.2922,110.2859011399852,43,81
0.875748949,776034.2399,187241.8391,110.92388878232384,26,492
1.312564808,551690.84,242402.2509,111.17695234930696,44,46
1.230821962,382889.7864,200811.8056,111.3586501162825,47,55
0.948860049,1.020562087e6,58626.61418,111.4589443963573,24,132
1.302672399,754376.5245,48845.16119,111.5643094083979,38,82
1.318165323,373830.5161,171091.4841,112.0182247561722,48,300
1.894406304,425657.548,241272.9491,112.24051416473675,46,353
1.752875195,595083.4336,71360.45969,112.5299347480236,44,227
1.638893316,708758.4099,201078.0817,112.61305770424683,48,472
1.310821371,401504.1318,66593.30735,112.80608248816931,41,367
1.039736517,392249.4968,98420.90057,113.02359680971172,39,307
0.572934131,914393.3114,165773.5786,113.15990241466415,0,476
1.133782627,613362.0953,80388.94421,113.1923794241811,46,256
0.9067401,1.068472728e6,67412.28997,113.24540515843856,27,203
0.620914613,745603.0939,274869.6888,113.31214306309198,11,485
0.691384971,951755.4335,143711.497,113.31760237295812,26,302
1.052871698,734881.7134,212766.5626,113.50434461066021,28,405
1.163272408,765923.4526,168396.2153,113.54179655934783,32,236
1.478536117,765146.3926,119352.3818,113.7932352272301,48,166
1.490777376,588822.7656,92033.07645,113.93397631253654,46,209
1.553290633,535736.9509,182319.4454,114.01993840983118,40,284
1.576740127,369928.5395,116776.7151,114.18005539179818,37,219
1.130869431,867977.5499,180779.5636,114.26959172667459,25,95
1.550855705,636613.1609,196268.3304,114.36448517349243,48,146
1.217523897,334136.4883,258312.6489,114.65070512710962,28,235
1.520656339,723900.6981,144848.2622,114.68434982624728,45,92
1.239150258,719986.348,227642.0962,114.69844475592218,48,327
1.057998736,785200.5156,254414.5852,114.83366084581279,37,206
0.566771469,863802.1968,143289.9436,114.89332835162165,3,155
0.804171025,752497.2854,287616.7956,115.05977615256558,21,167
1.581632878,318880.1333,76191.62112,115.0808125119504,22,394
2.184502356,475650.9522,168956.9957,115.18033161570693,48,390
0.960606402,1.071854444e6,134057.5957,115.19125586104154,28,479
1.590514298,752029.4067,239216.6691,115.1980645703981,48,316
1.327784801,672603.0549,54893.06384,115.30130715910627,45,308
1.738754218,543836.9269,129908.2661,115.30930024227385,21,63
1.324864396,821063.403,222656.0592,115.91396484207628,43,149
1.9262395,407743.4374,96793.12462,115.92212380647,48,66
1.028943949,501685.2261,168108.7544,115.97691943964804,44,93
0.789159448,943011.9613,87411.78199,116.11921900827335,30,232
1.012724534,704370.5408,125248.0971,116.12470088070216,41,37
0.666243751,879062.4605,113685.236,116.14235580055991,32,392
2.294670626,518389.9436,110300.9631,116.15748258594344,37,474
0.951275492,769992.3821,284137.5784,116.28864035128021,25,453
1.385207492,894720.9839,213990.9784,116.44109094808614,40,136
1.541227231,334922.024,46846.62652,116.86563643294578,48,147
0.862697922,580380.0922,111915.7936,117.27162321429591,26,279
2.247534475,447541.6755,73747.37008,117.35399000362334,25,22
1.45091549,795596.3401,202693.296,117.56250629686676,48,275
0.802337236,504036.9093,120121.8609,117.90526183486372,37,326
1.922749386,616612.5771,152283.6835,118.0446624395722,41,486
2.340109745,521748.0104,44710.89197,118.27057778538854,48,188
0.935473745,797623.6848,103965.3699,118.47824978798363,29,375
1.187452055,747630.1048,44437.24466,118.76327431451433,42,410
1.194019284,494145.68,96298.45137,118.82435437908359,40,44
1.761097126,474001.7779,33952.63943,118.85193009361006,47,463
1.222359887,836278.0275,184612.2263,118.8776239237485,41,397
1.959511522,497535.1121,134329.698,118.96134950301042,39,138
1.086678793,757637.0051,114439.4156,118.99636922580838,39,440
1.879898555,322226.7428,156546.9371,119.19673110666179,46,329
0.681802028,604913.3146,123589.789,119.47007306025817,29,148
2.319868227,305849.1496,98915.96194,119.58762165132754,48,446
1.213688857,907334.9245,222020.2764,119.6005351718617,34,299
1.205754128,660221.1574,170785.8116,119.71083782448984,39,153
0.918534719,858642.2188,147984.5555,119.84383438776749,22,431
1.716559575,562923.732,249582.0537,119.8950948935921,39,194
1.263446977,855448.0467,59599.08325,120.09293906611894,37,262
2.513058844,465082.3774,148598.6306,120.17188914152707,39,226
1.173537636,925285.86,98642.44364,120.26399639869544,35,180
1.127725202,726028.0207,264699.6556,120.32613274415397,37,289
1.517015398,353239.7922,166520.4704,120.50511614006747,18,15
1.856415875,581491.5417,221760.2226,120.92992931734935,48,74
2.223472349,406457.318,44009.2012,120.94696523785369,39,259
1.933651756,509005.8284,212497.2886,121.04139146474844,37,222
0.643322241,1.013327888e6,179195.1199,121.10570824986026,27,12
1.533974616,519652.7889,220210.8594,121.193382931615,31,38
1.142245003,966738.0694,60234.29129,121.27683221075846,42,195
0.744030962,822162.918,117765.3523,121.3647007398877,33,101
1.113422979,345538.4884,108702.1096,121.45837422697501,38,65
0.746416949,670528.5033,285260.1702,121.81391305482038,35,261
0.980100803,542729.7212,205870.8266,122.30703448525998,38,491
1.227254891,887326.4188,277940.0008,122.33123704041313,26,217
1.434437074,598379.7871,159729.1068,122.49369693094405,48,497
1.462874794,626956.1959,262510.0127,122.54841033402015,46,422
1.628488604,394316.1909,224745.3297,122.63989501165956,42,202
0.656374632,417771.4914,120473.3771,122.77624281528578,42,116
2.260830191,498007.199,115394.8775,122.96150680399278,44,265
1.382652136,427772.4095,101614.8726,122.96253515173849,37,49
1.356151535,617262.5814,291854.2187,123.00282126068076,48,184
2.577303032,381960.7193,55707.36842,123.26901660297467,46,207
1.268068127,592735.5545,280296.5134,123.27983177114015,48,290
0.997043593,601010.4321,181070.8811,123.30047889880913,31,234
1.965624023,549312.1676,174731.8046,123.34899149995262,35,457
1.153611618,1.067235055e6,48345.40806,123.36443069054192,37,376
0.753362934,923584.0011,233992.7405,123.47091937240754,19,189
1.069818919,821376.7985,169971.0119,123.51544864845289,26,339
1.338734711,784876.0694,273481.2432,124.40956695978801,43,359
2.40073181,454464.763,85984.445,124.46035025480597,48,306
0.588290271,507393.5457,51767.32768,124.78963214320515,41,50
1.177224636,629308.7732,42608.09113,125.05029166898355,46,19
1.86305432,434014.7937,129142.7167,125.17175257574058,45,395
2.080599419,520693.4316,97428.90396,125.35737699949397,39,382
0.555978865,1.029366536e6,208536.7191,125.57748378705185,5,247
1.657018582,312643.8769,87141.34956,125.68496222922455,7,52
1.056692291,533661.2549,154418.4134,125.82847038800213,44,368
2.075195722,337427.4971,169543.0886,125.83697859199211,48,489
0.569164666,618512.485,243420.8817,126.06476670591422,0,313
1.829196873,551126.2447,100483.5148,126.50444234774173,39,346
0.686700381,656156.7994,65009.53853,126.56006857681156,37,465
1.120601498,1.027534552e6,111058.735,126.68962271686114,30,320
1.288185432,938789.3537,253540.7075,126.73782105926465,34,336
1.249325453,805718.1861,137171.8837,126.75561912737369,41,25
1.544240516,385240.8024,154931.2697,126.85175885420044,21,464
1.209064076,609954.2575,296775.4247,126.90223348744765,47,460
1.735899409,661176.3643,45605.95928,126.98784068823346,43,493
1.775581647,633216.8665,234158.216,127.01861053604243,48,36
1.116790397,530373.48,36567.28773,127.03059156972266,39,482
1.457979178,677470.5281,205049.9181,127.50843938901357,42,192
0.593225029,844714.6295,272456.498,127.60027234352954,18,24
1.247826845,473351.7483,173473.7608,127.63121578744725,44,122
1.600953951,405414.4887,288605.9477,127.68053139549345,41,135
1.6519382,509783.5556,159234.8822,127.70265413526559,31,297
1.396427854,844209.7601,257806.1171,128.11941821332573,45,473
1.688213335,378998.445,143454.1957,128.3652455162467,43,1
1.468277526,418035.6653,139507.043,128.4136462832655,36,286
1.676281645,578183.7812,287346.7492,128.67241676177477,37,432
1.943013746,348498.2906,53898.69581,129.01584203778265,43,13
1.987638143,308234.9855,83369.58819,129.25725769352428,42,248
1.623375368,695971.2826,75322.77242,129.39535262760725,45,87
1.392829373,347878.7756,195715.4575,129.64105303967284,23,312
1.365729909,315987.4372,141905.7985,129.95268405165646,33,106
1.165734745,678257.5298,150734.3851,129.98981150664648,44,268
1.617818721,338343.9763,262883.6646,130.2765968992555,41,28
1.993104637,517287.3234,163150.8381,130.5659106709658,48,23
1.892596818,577397.6017,67444.50577,131.0929907344163,37,31
2.230538042,308693.709,30552.7064,132.0054071389053,13,79
1.795003882,540820.6569,63139.30357,132.06882859473507,31,338
0.559367728,965444.7202,292843.1135,132.32078537450792,1,137
1.376030705,575227.7952,207415.7308,132.6759017039952,43,373
1.019278584,1.054977247e6,217332.7226,132.8831092642998,35,358
1.158486376,463865.6817,242887.6483,133.11903223837047,41,398
1.258710382,352464.2346,121697.8889,133.77153792102908,31,425
0.901616442,1.017229268e6,125935.312,133.8468636241643,35,408
1.190237974,797948.9055,152596.497,133.9119981742607,38,204
1.510317151,606162.443,142458.6649,134.17589842918701,44,334
2.044802841,540048.1626,241908.734,134.64890807911613,43,100
0.994463205,738286.4995,163409.0409,134.69940579180795,29,281
1.521961758,569187.4517,247084.5022,134.89601772901582,31,250
1.839498017,341642.5217,166026.7604,134.96147843454077,42,131
1.118735773,479022.5314,280931.7069,136.05837431470977,36,163
1.113901918,775757.8827,206176.6341,136.2564522990791,26,2
2.052395162,438417.4626,125675.826,136.29096554970562,26,190
1.982468017,606946.2962,199568.0566,136.31154655771633,33,363
1.745258248,496761.0566,221343.3678,137.29514441928197,19,386
0.904379869,413860.2646,167407.0551,137.48641042152653,28,366
1.446175293,499619.4784,276121.7405,137.5178092426517,37,438
2.133857587,339305.2628,122257.3863,137.5596633577458,14,370
1.505294697,304336.8105,292601.1697,137.6734335364135,39,274
1.140913828,315198.1944,229970.5671,137.67784214133118,29,354
1.359170195,668506.0646,166894.5749,137.72937114410263,45,427
0.610770349,548386.1478,81224.5247,137.93264357283698,34,285
1.479834326,516783.7678,288960.9978,138.00660951625187,36,323
2.206611887,349784.4096,68713.87527,138.03238493529,14,484
1.728488215,359472.9943,195154.4782,138.53767961416457,35,441
0.823341224,395532.891,31112.65427,138.85557761211888,22,33
2.116770432,586956.0536,133694.496,139.04400863604386,14,304
1.583895888,671815.3734,232608.3378,140.0624971156606,29,70
2.093848439,321440.5753,199261.9295,140.1812434575712,40,91
1.509921086,800254.3895,217854.3628,140.34994280586744,47,437
1.787593474,683728.1678,224192.0182,140.55129753376474,16,254
0.85698442,613039.5446,61487.11522,140.89626032617628,29,64
1.659297538,665557.7546,264124.1989,141.0346944891706,41,374
1.867948101,482914.6953,71716.09571,141.27710059450828,22,216
0.893551762,679302.5604,97917.47014,141.8746319100752,30,140
