Column1,BrMin,BrFactor_ADAPT,PoyntingFluxPerBSi,LperpTimesSqrtBSi,StocasticExponent,nChromoSiAWSoM,rMinWaveReflection,realization,pfss,UseSurfaceWaveRefl,rmse_Ur,rmse_Np,rmse_B,rmse_T,shift,Tmin,Tmax
100,4.67819104,1.688213335,378998.445,143454.1957,0.17733302,4.217254e18,1.079156076,0.363636364,1,2,128.3652455162467,4.612213848334108,3.3544136823192807,84882.28072128865,43,0.2,0.8
101,0.434287714,1.113901918,775757.8827,206176.6341,0.131087229,3.477532e18,1.093172934,0.636363636,1,1,136.2564522990791,7.239718046658863,3.8093154529708197,94432.17745187473,26,0.2,0.8
102,2.651220157,0.622781502,597093.668,107109.9763,0.213755514,2.945523e18,1.129602772,0.181818182,1,2,453.84024719818024,7.532585114288719,5.025976405826278,111819.04423150636,-48,0.2,0.8
103,5.700308508,1.482107827,467765.5006,62007.82101,0.260752463,1.156582e18,1.1315264,0.545454545,1,2,91.68226771653907,5.092857318409509,3.2618687829715443,83879.55133278455,48,0.2,0.8
104,4.013280494,0.808845839,455407.748,231063.2756,0.314279168,2.202823e18,1.182307273,0.727272727,1,1,146.7348560613894,6.2940927164485805,4.182162190331441,91743.68912262519,29,0.2,0.8
105,7.053211168,1.567113498,584444.4726,276693.6678,0.151322787,4.019743e18,1.098392399,0.090909091,1,1,156.54150604908213,5.943656237608566,3.3025205978277112,89368.66970240144,29,0.2,0.8
106,9.855766315,0.982453694,788016.3571,38374.78767,0.203830856,4.833047e18,1.115396445,0.909090909,1,2,159.1035750376969,5.531910099376181,3.847618224362555,107933.32988657034,29,0.2,0.8
107,5.022294375,2.635709402,391648.3058,244530.6022,0.127734267,2.892189e18,1.085610999,0.0,1,1,192.82267633306367,7.5228839998091575,3.1397159274733464,100196.85992626278,23,0.2,0.8
108,8.164561295,1.096541615,410695.5606,134824.8239,0.309279237,3.178008e18,1.073263375,0.727272727,1,2,109.32667123414069,5.525688722415404,3.961897018707297,84980.39333732151,37,0.2,0.8
109,0.124783036,0.873890443,530696.0303,85000.37275,0.112267528,1.394925e18,1.086996795,0.727272727,1,1,148.97245378510286,5.830717143911609,4.073885065896435,93271.50679113482,22,0.2,0.8
110,2.966448963,1.437317447,746843.0674,260120.4323,0.180082757,2.581565e17,1.14936369,0.181818182,1,2,143.82338977352447,8.4457624294911,3.175368883062791,93848.5569131743,39,0.2,0.8
111,6.006226775,0.643322241,1.013327888e6,179195.1199,0.226815573,3.245926e18,1.143765694,0.272727273,1,1,121.10570824986026,6.506693133817994,4.4234310107832915,107332.91001743599,27,0.2,0.8
112,2.155180147,1.943013746,348498.2906,53898.69581,0.13585247,2.51737e18,1.151960597,1.0,1,2,129.01584203778265,4.631795608608838,3.407418089231974,87891.84724214258,43,0.2,0.8
113,7.773510143,0.722882167,686619.1443,255920.3416,0.251798241,6.654976e17,1.183714098,0.545454545,1,2,453.84024719818024,7.532585114288719,5.025976405826278,111819.04423150636,-48,0.2,0.8
114,0.828090918,1.517015398,353239.7922,166520.4704,0.208537587,3.682417e18,1.096219453,0.0,1,1,120.50511614006747,5.306028564546883,3.9513397739204885,84878.36402938457,18,0.2,0.8
115,9.496697548,1.79266459,493380.1493,288111.7227,0.230081059,1.943673e18,1.174095917,0.090909091,1,1,171.43835235938374,8.828107244008535,3.1887626580545807,98056.66517133292,17,0.2,0.8
116,3.670019337,1.063137862,969221.2773,147495.615,0.141000223,2.695667e18,1.138878211,0.0,1,2,145.43571888284697,10.190017657189928,3.9454573269783495,107182.42208061699,29,0.2,0.8
117,5.615437818,1.285927073,889357.5264,89204.83685,0.333984044,8.834341e17,1.099106669,0.909090909,1,1,96.42816811617813,10.493113462713193,3.2031553778884185,91217.29187156456,38,0.2,0.8
118,4.404040817,1.177224636,629308.7732,42608.09113,0.244610672,4.640315e18,1.160648534,0.545454545,1,2,125.05029166898355,5.455700448844778,3.67203282151778,99466.67942115861,46,0.2,0.8
119,6.349612207,0.927145392,312088.4787,127764.4649,0.167905347,1.657233e18,1.173778952,0.909090909,1,2,285.09147566283133,6.953298822010478,4.042732602825926,184208.97505410074,21,0.2,0.8
120,9.152525214,1.351367056,915450.5728,218425.7047,0.115060823,2.320555e18,1.188206682,1.0,1,1,167.26177758118254,10.528235287771668,3.1764914775244697,102290.78220359604,31,0.2,0.8
121,2.681220218,2.247534475,447541.6755,73747.37008,0.2663316,3.368492e18,1.122582389,0.818181818,1,2,117.35399000362334,6.591361700018439,2.529242183138075,85859.13472286629,25,0.2,0.8
122,5.881523467,1.993104637,517287.3234,163150.8381,0.193066687,3.796969e17,1.102004963,0.363636364,1,1,130.5659106709658,9.380645736510274,2.555487807795552,79753.56282439888,48,0.2,0.8
