BrFactor_ADAPT,PoyntingFluxPerBSi,LperpTimesSqrtBSi,rmse_Np,shift,runID
0.664995384,543212.5425,41444.61574,5.0754707286206795,-17,367
1.140913828,315198.1944,229970.5671,5.179970316793504,-29,45
0.902732436,353471.0273,63175.42129,5.2052423983247476,-17,372
0.910099988,368585.851,108046.9602,5.215243536968006,-21,203
0.77668132,428791.601,40955.60939,5.2778693675891795,-29,467
1.006598181,302457.4284,60983.23619,5.285046667526079,-22,53
0.913848646,361577.3726,69274.40249,5.286289745242459,-27,19
1.093031403,320181.0179,173249.6597,5.309059017096776,-32,395
0.686438933,451807.1529,32802.83263,5.317590053907767,-25,235
0.96186334,307438.8325,71297.82921,5.3212848568880915,-16,394
0.979312961,339846.6578,170642.1692,5.346430059340814,-9,243
0.952355635,320504.3115,150615.4702,5.355232235798714,-39,180
1.193443858,349188.6791,290063.3515,5.358768595317227,-7,301
0.653877128,650872.3779,125615.2475,5.359420672910524,0,434
1.066051065,323837.1179,247626.4451,5.379771753033179,-22,93
0.934444461,349501.2878,237279.4245,5.412629266653816,-13,153
1.274057595,325833.4007,268561.3239,5.416109923891621,-13,384
0.941809832,335082.2469,183970.3858,5.453019265086073,-25,316
0.610770349,548386.1478,81224.5247,5.4688462671054605,-7,25
0.737368239,421005.962,51199.52876,5.4789346968175,-15,62
0.548753023,640761.7208,37480.22736,5.498196756329151,3,423
0.881272453,426245.22,57890.2256,5.50545830755559,-19,238
0.993434742,389576.6331,296657.0166,5.508561745404579,-19,124
0.640539382,720122.9094,69424.51452,5.510494181692085,-5,482
1.027628779,305936.9113,200247.5046,5.52247198126579,-6,116
0.94774307,356387.3999,129820.9155,5.5297440782686715,-16,490
1.152749968,303477.0021,119539.5806,5.534462075172045,-16,358
0.848262819,405257.5069,143081.6386,5.54573533425511,-12,363
0.703511452,587584.688,39282.07492,5.548327164078495,-4,47
1.023279952,366829.5812,179316.1099,5.559893496940118,-8,422
1.015914838,354839.7455,258761.7724,5.577663686177477,-6,252
0.988822726,325572.6723,249560.6129,5.591026919795224,-18,432
1.020263545,315729.4858,287475.4263,5.599471736802179,-2,355
0.898116483,317488.8283,84370.33902,5.616968797076949,-22,267
0.865210088,338477.9247,100447.2764,5.621171890400622,-15,382
1.371117735,328379.6379,285381.1333,5.640297751563822,-2,162
1.085665911,308153.5181,252171.9697,5.6427603249086244,-13,175
0.627564938,607878.4185,56817.22152,5.646002837751489,14,98
0.860857196,377599.1188,146225.719,5.648440755569785,-5,276
0.857737686,416411.0595,95668.03706,5.6653281888927,-15,109
1.08131817,369129.5749,298283.9771,5.67272231530031,-24,488
0.648221169,600553.4073,67068.02088,5.677638985561013,-7,346
0.714736318,494401.0684,199647.5537,5.709293175293892,-1,377
0.828840991,409454.455,115955.9197,5.734677151577082,-21,88
0.806917336,364478.494,124998.5895,5.755317781482941,-32,398
0.674504883,528871.7998,130909.7572,5.755516781145475,-14,209
0.983924856,375839.7615,208901.8757,5.757282610671341,-4,347
1.199575695,311583.2163,146732.2474,5.758936980110029,-9,83
0.644400193,664570.7196,46729.79132,5.767415498723607,0,244
0.963400397,384142.7179,185996.8863,5.7742792732924,3,96
0.929827842,385398.2372,275155.2455,5.788397471256815,-10,462
0.684376434,565250.0995,238302.3715,5.7975237369977055,-14,439
0.768430883,487360.1371,107677.2019,5.804294557994414,7,77
1.054860143,336447.9246,121158.3054,5.8053748195038954,-6,305
1.217523897,334136.4883,258312.6489,5.815793982470862,-3,7
0.812334467,437124.4203,194740.7228,5.820786814033133,-15,480
0.8874041,329904.3493,211097.1346,5.824183651669906,-27,79
0.838353481,511292.4585,235808.3293,5.8326278384384675,-7,75
1.479550742,313119.2595,255774.784,5.836006051259487,-10,288
1.18393435,335392.5902,202839.2878,5.840997928606003,-18,477
0.821811394,447069.4873,242281.956,5.842522298435161,-13,298
0.790011571,479256.892,152270.233,5.8476409068517485,-6,311
0.843015928,370186.8121,245434.1352,5.878041284806821,-40,333
0.720296234,531765.1873,62155.5633,5.884174874825335,-14,293
0.797440787,350936.9468,46240.85287,5.889093338109995,-6,177
1.088683541,359201.6919,210532.7028,5.890127701611573,-10,292
