"","V1","V2"
"1",0.54,950105.205994857
"2",0.541790760590811,435102.850203105
"3",0.546083888674044,1020018.60093867
"4",0.549890014464029,839181.970140306
"5",0.553193573607086,398554.045977384
"6",0.556185446711554,742883.240181176
"7",0.559188647962619,1057536.26048725
"8",0.561086316100057,537032.301640604
"9",0.564967124350218,323622.344512649
"10",0.567929389611433,672129.32058474
"11",0.572440446940255,481061.826433907
"12",0.575254890159575,966544.06353692
"13",0.579706463156909,582429.229095178
"14",0.582763315714459,1082154.16429329
"15",0.586508526056414,699870.306299204
"16",0.589801279112436,418694.370544998
"17",0.592643589401479,910324.537768783
"18",0.598450690711961,770856.948651162
"19",0.601983214072382,464031.439978614
"20",0.607191668026961,352733.378054509
"21",0.609254820847902,1099551.28982124
"22",0.613383123071318,871496.493631841
"23",0.616938540854077,561286.657207613
"24",0.621416818746773,312204.515680761
"25",0.623325247010057,1006907.68440308
"26",0.627437811308626,790051.420925106
"27",0.631925191577044,612636.914505512
"28",0.636210523869213,374214.010257655
"29",0.640624273631212,721734.160968994
"30",0.645930169640951,443504.681823429
"31",0.648790024878095,848142.743147603
"32",0.653904808506064,647453.396978966
"33",0.656582295244705,1087677.54266089
"34",0.6611890607321,929203.533587096
"35",0.663432185668806,344588.323006912
"36",0.668083959645953,513723.664083077
"37",0.671759574900411,822736.955952276
"38",0.678225493560733,596369.331070079
"39",0.682057197958996,1014099.10806621
"40",0.684877833995325,403076.220046354
"41",0.688386229340868,735631.032398015
"42",0.696552490997186,807759.096814332
"43",0.701170164439568,939668.236471398
"44",0.703857090016506,488764.10607794
"45",0.709022038412916,665947.472728153
"46",0.712531533826358,331860.405023319
"47",0.714999867521971,971394.300740298
"48",0.722003886104768,896542.656840451
"49",0.72444145612124,428613.443890419
"50",0.729658617211479,575594.73812776
"51",0.732169975849816,1062619.8358233
"52",0.73689758429966,855634.490380739
"53",0.741348493217624,691516.951194427
"54",0.74415321592022,383140.054850289
"55",0.749327256142111,999745.694059768
"56",0.753312382153074,318620.280471554
"57",0.758889516059953,451491.847833245
