Column1,BrMin,BrFactor_ADAPT,PoyntingFluxPerBSi,LperpTimesSqrtBSi,StocasticExponent,rMin_AWSoMR,rMinWaveReflection,realization,pfss,UseSurfaceWaveRefl,rmse_Ur,rmse_Np,rmse_B,rmse_T,shift,Tmin,Tmax
0,8.070142604,1.750417022,445660.8152,246107.6357,0.152450354,1.079633423,1.170932813,0.545454545,1,1,99.08371794364541,9.341784527744116,3.8912905598367127,87405.22902929659,-41,0.2,0.8
1,3.768027266,0.852264308,916743.4929,122003.9471,0.241128422,1.101365192,1.15237533,0.272727273,1,2,142.7988251264531,6.332872251038025,3.638771809336925,70185.24832705084,-3,0.2,0.8
2,6.963600724,1.108667837,849671.1848,30519.25922,0.164363441,1.061998065,1.196836308,0.818181818,1,1,128.7180004186435,10.755146956430863,3.2829342710196956,87493.83497818705,-30,0.2,0.8
3,9.786002587,0.663890855,627477.0748,281445.0651,0.127047291,1.055335872,1.152832013,0.727272727,1,1,108.46421046175988,6.097623734474987,4.181768451915825,81613.81390632097,5,0.2,0.8
4,1.590428385,1.42413834,307670.4156,225304.8284,0.294030511,1.062620138,1.102447891,0.363636364,1,2,78.7203423632582,5.027056295193193,3.7894022217166117,77843.61818618566,-17,0.2,0.8
5,4.732412752,2.306532964,488423.4508,48086.69027,0.1115764,1.111923791,1.161236658,0.818181818,1,2,94.4516547594802,11.715887055768025,3.041404104355864,80121.1008901636,-29,0.2,0.8
6,6.682866209,2.085988809,571741.7916,104238.7635,0.308563829,1.051293732,1.15040052,0.181818182,1,1,127.14718741798916,25.36813166307617,3.5387223874547784,94266.55783996636,-15,0.2,0.8
7,0.233543406,0.787219736,891238.3391,263872.8247,0.219109452,1.129659856,1.175959154,0.090909091,1,2,210.23348340050748,6.034292560220148,3.8649912388675536,74307.65579892532,8,0.2,0.8
8,3.016910783,1.21947951,681613.284,84484.46251,0.136983274,1.05704535,1.072842201,0.272727273,1,1,98.02530282406568,7.7929075064787545,3.9175247169931633,86875.27345327093,11,0.2,0.8
9,6.212331965,1.003022277,351995.2234,136447.176,0.330024691,1.08467317,1.169549707,0.090909091,1,1,98.35112058440178,6.120209656544975,4.144581981248559,90847.67471642626,-3,0.2,0.8
10,7.570067651,0.940333215,747942.7254,97154.99414,0.298698765,1.09160909,1.093462246,0.181818182,1,2,86.60492981231205,5.794368814289535,3.895097904621843,85914.03570054016,-1,0.2,0.8
11,4.341646542,1.662345906,614262.3482,203434.5751,0.207376769,1.106153118,1.119538505,0.0,1,1,92.34105154930982,12.75293595003078,3.409392981374871,83130.95796708747,-39,0.2,0.8
12,7.386461371,2.458586686,344322.9375,286505.9793,0.250615024,1.14660236,1.185785377,0.909090909,1,2,112.46388532207568,7.371953697076418,2.6808629303949365,76907.10991455514,-14,0.2,0.8
13,0.78028792,1.156660695,1.018478755e6,140651.3887,0.101746698,1.107826337,1.123453753,0.272727273,1,1,109.00941767782709,10.255913727248693,3.6189694419197864,80567.14857934786,-23,0.2,0.8
14,3.563326197,0.581093181,408669.8372,172381.7852,0.184033553,1.124034164,1.155343821,0.272727273,1,2,197.00511137330517,7.020918124764228,4.526209102932734,69694.64462988522,17,0.2,0.8
15,5.353106672,1.372983367,526471.5154,251197.9117,0.230825975,1.070849785,1.083836488,0.272727273,1,2,98.43866967335873,7.52662332254095,3.6601486677341803,83762.8883355178,-31,0.2,0.8
16,4.627243008,1.496451425,792191.7578,268807.2306,0.317827114,1.142390078,1.195108103,0.545454545,1,1,81.81320118608255,13.359410093179177,3.0881384587106506,86378.61094499513,-23,0.2,0.8
17,6.417175788,0.736070022,1.072642948e6,221067.4031,0.154813188,1.053809631,1.102084033,0.181818182,1,2,172.5229066749327,6.177639219637974,3.734800068728927,79325.35631085157,1,0.2,0.8
18,0.41652814,2.137136572,390548.7908,79522.16752,0.24535876,1.131305614,1.159170086,0.454545455,1,1,83.08974044053986,4.716833504592325,3.8287387450981614,84512.92584995259,-43,0.2,0.8
19,9.23930577,1.307543416,450208.5302,126236.9991,0.191910071,1.061300727,1.109828719,0.272727273,1,1,96.77516118417374,6.533983272324664,3.9473492184165027,91093.77685848699,4,0.2,0.8
20,2.449372543,1.051005982,583394.1195,43160.95199,0.265144296,1.115883833,1.135841462,0.363636364,1,2,114.67078181436489,5.722613357580651,4.067137581758643,83463.30520241203,20,0.2,0.8
21,7.886477001,1.188782192,596044.7455,211937.2769,0.339821399,1.059579922,1.110978385,0.454545455,1,1,82.37576507175669,5.89326596140283,3.689349693701753,90904.6117701421,-30,0.2,0.8
22,1.087390904,0.89869488,462564.6615,295539.5171,0.143014446,1.099869206,1.100655012,0.454545455,1,2,173.368653868633,6.128831342783651,4.233139770784818,69341.4305220777,-8,0.2,0.8
23,9.920830529,2.271748728,377900.3605,179824.1669,0.299588593,1.125541041,1.135981781,0.636363636,1,2,94.97940300993274,8.897684789263444,2.6252382579981264,84249.54723977271,-22,0.2,0.8
24,5.044858684,0.550009916,779931.6622,100230.7196,0.257210905,1.137016705,1.177377326,0.545454545,1,1,175.56208074582963,6.36201232076429,4.198776947406425,120848.39888934416,1,0.2,0.8
25,4.935757723,0.69865034,538828.4126,149443.6491,0.284117733,1.052794808,1.076321852,0.363636364,1,2,144.94165731752582,6.423978353866194,4.194254610384849,74826.74241245988,5,0.2,0.8
26,6.734691106,1.52435414,421318.1773,70101.39383,0.120898274,1.064121989,1.125089797,0.272727273,1,1,98.3242580081918,6.409543432472812,3.729556661002306,94920.56320839185,-34,0.2,0.8
27,8.932087456,1.024141434,1.006220945e6,241018.099,0.173317878,1.08619871,1.145543468,0.454545455,1,2,129.97328818871955,9.902219057224016,3.2993116433530574,77060.35785937395,-22,0.2,0.8
28,2.901465974,1.781089588,331966.7041,118390.902,0.324354288,1.076188618,1.167012694,0.0,1,1,81.76464961691676,4.411194237269898,3.359173492949211,86331.98778606708,-34,0.2,0.8
29,2.133154818,1.341782468,735195.1085,198050.2632,0.246346564,1.102075102,1.105535361,0.0,1,1,81.14178002582754,9.507964995893829,3.290728311365561,80886.56571497653,-23,0.2,0.8
30,4.076198598,1.135526209,364735.979,236813.9022,0.275035316,1.144978463,1.186329001,0.363636364,1,2,106.70416055505179,5.355869921075994,4.12444537711264,74251.19605733901,-20,0.2,0.8
31,7.281993353,0.818014945,693867.2842,185379.7153,0.198066627,1.066701951,1.107566518,0.272727273,1,1,83.13829129005347,5.064960328857237,3.877138819539998,80610.23692694216,2,0.2,0.8
32,3.604155229,2.221656811,559000.3647,273211.716,0.236521725,1.056980634,1.06563358,0.363636364,1,2,106.31304554359643,15.662250744648825,3.513169637850094,86738.71789895816,-40,0.2,0.8
33,5.564987028,1.899794953,476171.831,217588.089,0.163462483,1.1455486,1.188569905,0.090909091,1,1,104.57909204323546,6.86432236810642,2.6589229050818144,73940.44051760747,-24,0.2,0.8
34,1.273333349,0.63596134,961240.761,74301.72422,0.312616511,1.067770985,1.187025169,0.363636364,1,2,199.73786810066224,6.221149866116479,3.862485500276904,85690.68494213707,-4,0.2,0.8
35,8.746327104,0.748751527,319922.136,57256.79543,0.221051483,1.131063303,1.170625626,1.0,1,2,235.4803946620414,6.991478956340594,4.592607897572379,96338.68142824328,-32,0.2,0.8
