Column1,BrMin,BrFactor_ADAPT,PoyntingFluxPerBSi,LperpTimesSqrtBSi,StocasticExponent,rMin_AWSoMR,rMinWaveReflection,realization,pfss,UseSurfaceWaveRefl,rmse_Np,shift,Tmin,Tmax
0,8.070142604,1.750417022,445660.8152,246107.6357,0.152450354,1.079633423,1.170932813,0.545454545,1,1,8.907038683114656,10,0.2,0.8
1,3.768027266,0.852264308,916743.4929,122003.9471,0.241128422,1.101365192,1.15237533,0.272727273,1,2,5.862667897102201,-9,0.2,0.8
2,6.963600724,1.108667837,849671.1848,30519.25922,0.164363441,1.061998065,1.196836308,0.818181818,1,1,10.68943098667333,-28,0.2,0.8
3,9.786002587,0.663890855,627477.0748,281445.0651,0.127047291,1.055335872,1.152832013,0.727272727,1,1,5.963827048526826,19,0.2,0.8
4,1.590428385,1.42413834,307670.4156,225304.8284,0.294030511,1.062620138,1.102447891,0.363636364,1,2,5.024106879112409,-15,0.2,0.8
5,4.732412752,2.306532964,488423.4508,48086.69027,0.1115764,1.111923791,1.161236658,0.818181818,1,2,11.608022227040205,24,0.2,0.8
6,6.682866209,2.085988809,571741.7916,104238.7635,0.308563829,1.051293732,1.15040052,0.181818182,1,1,24.97781513970261,-1,0.2,0.8
7,0.233543406,0.787219736,891238.3391,263872.8247,0.219109452,1.129659856,1.175959154,0.090909091,1,2,5.940929643608076,11,0.2,0.8
8,3.016910783,1.21947951,681613.284,84484.46251,0.136983274,1.05704535,1.072842201,0.272727273,1,1,7.758512416590188,14,0.2,0.8
9,6.212331965,1.003022277,351995.2234,136447.176,0.330024691,1.08467317,1.169549707,0.090909091,1,1,5.822794738734292,-25,0.2,0.8
10,7.570067651,0.940333215,747942.7254,97154.99414,0.298698765,1.09160909,1.093462246,0.181818182,1,2,5.360394575353193,-20,0.2,0.8
11,4.341646542,1.662345906,614262.3482,203434.5751,0.207376769,1.106153118,1.119538505,0.0,1,1,12.30497271590182,15,0.2,0.8
12,7.386461371,2.458586686,344322.9375,286505.9793,0.250615024,1.14660236,1.185785377,0.909090909,1,2,7.1308177052672175,9,0.2,0.8
13,0.78028792,1.156660695,1.018478755e6,140651.3887,0.101746698,1.107826337,1.123453753,0.272727273,1,1,9.164767472917685,-13,0.2,0.8
14,3.563326197,0.581093181,408669.8372,172381.7852,0.184033553,1.124034164,1.155343821,0.272727273,1,2,6.958951081375804,27,0.2,0.8
15,5.353106672,1.372983367,526471.5154,251197.9117,0.230825975,1.070849785,1.083836488,0.272727273,1,2,7.509506021503387,-32,0.2,0.8
16,4.627243008,1.496451425,792191.7578,268807.2306,0.317827114,1.142390078,1.195108103,0.545454545,1,1,13.204131461286291,-18,0.2,0.8
