BrFactor_ADAPT,nChromoSi_AWSoM,PoyntingFluxPerBSi,LperpTimesSqrtBSi,StochasticExponent,BrMin,rMinWaveReflection,REALIZATIONS_ADAPT,PFSS,UseSurfaceWaveRefl,Outcomes,rmse_Ur,rmse_Np,rmse_B,rmse_T,shift,Tmin,Tmax
0.545294118,1.12941e18,639215.6863,213308.8235,0.29,5.477941176,1.101470588,3,1.0,1.0,1,96.46198048039298,6.21623529290879,4.179820553168785,71859.1794343127,2,0.2,0.8
0.555882353,4.98824e18,776470.5882,245073.5294,0.220588235,7.120098039,1.094607843,1,1.0,2.0,0,453.84024719818024,7.532585114288719,5.025976405826278,111819.04423150636,-48,0.2,0.8
0.566470588,2.02353e18,866666.6667,186838.2353,0.31,8.00245098,1.075,9,1.0,1.0,0,453.84024719818024,7.532585114288719,5.025976405826278,111819.04423150636,-48,0.2,0.8
0.577058824,4.0e18,384313.7255,108750.0,0.295882353,5.183823529,1.057352941,5,1.0,2.0,0,453.84024719818024,7.532585114288719,5.025976405826278,111819.04423150636,-48,0.2,0.8
0.587647059,2.54118e18,450980.3922,148455.8824,0.205294118,5.526960784,1.131862745,9,1.0,1.0,0,453.84024719818024,7.532585114288719,5.025976405826278,111819.04423150636,-48,0.2,0.8
0.598235294,1.57647e18,831372.549,115367.6471,0.194705882,6.75245098,1.00245098,1,1.0,2.0,1,161.44118477316837,6.156789690836062,4.207683047747245,83447.76107141569,6,0.2,0.8
0.608823529,3.36471e18,674509.8039,235808.8235,0.162941176,7.806372549,1.025,5,1.0,1.0,0,453.84024719818024,7.532585114288719,5.025976405826278,111819.04423150636,-48,0.2,0.8
0.619411765,7.05882e17,560784.3137,61102.94118,0.218235294,6.360294118,1.034803922,6,1.0,2.0,1,128.70304094866827,6.619226490985786,4.385889105172667,65290.235016286584,2,0.2,0.8
0.63,1.69412e18,764705.8824,291397.0588,0.239411765,8.81127451,1.065196078,4,1.0,1.0,0,453.84024719818024,7.532585114288719,5.025976405826278,111819.04423150636,-48,0.2,0.8
2.588823529,4.07059e18,454901.9608,196102.9412,0.192352941,9.595588235,1.199509804,9,1.0,2.0,0,453.84024719818024,7.532585114288719,5.025976405826278,111819.04423150636,-48,0.2,0.8
1.932352941,3.05882e18,976470.5882,181544.1176,0.327647059,7.169117647,1.15245098,1,1.0,1.0,0,453.84024719818024,7.532585114288719,5.025976405826278,111819.04423150636,-48,0.2,0.8
0.725294118,1.22353e18,501960.7843,116691.1765,0.253529412,7.659313725,1.172058824,9,1.0,2.0,0,453.84024719818024,7.532585114288719,5.025976405826278,111819.04423150636,-48,0.2,0.8
0.672352941,1.64706e18,321568.6275,201397.0588,0.152352941,6.115196078,1.115196078,6,1.0,1.0,1,165.40586183908945,6.975691975207535,4.400732340648939,72951.63416679147,-4,0.2,0.8
0.682941176,5.64706e17,603921.5686,91544.11765,0.100588235,8.737745098,1.155392157,2,1.0,2.0,1,164.8271505129581,5.7645736971603325,4.039223168336586,79381.01092014484,9,0.2,0.8
